seed,split,prediction_frame_offset,paired_center_frames,mae_xyz_mean_N,selected
17,test_id,-5,7843,0.05547598376870155,False
17,test_id,0,7843,0.043510403484106064,False
17,test_id,5,7843,0.05925420671701431,False
29,test_id,-5,7843,0.04952085763216019,False
29,test_id,0,7843,0.03823329880833626,False
29,test_id,5,7843,0.05543114244937897,False
43,test_id,-5,7843,0.05562717467546463,False
43,test_id,0,7843,0.04470700025558472,False
43,test_id,5,7843,0.061151567846536636,False
17,test_batch6,-5,9843,0.04898570850491524,False
17,test_batch6,0,9843,0.039265457540750504,False
17,test_batch6,5,9843,0.05849982053041458,False
29,test_batch6,-5,9843,0.04468143358826637,False
29,test_batch6,0,9843,0.03380424529314041,False
29,test_batch6,5,9843,0.05377282202243805,False
43,test_batch6,-5,9843,0.04980411008000374,False
43,test_batch6,0,9843,0.0407857820391655,False
43,test_batch6,5,9843,0.05972243472933769,False
17,test_flat,-5,10083,0.36161577701568604,False
17,test_flat,0,10083,0.3578090965747833,False
17,test_flat,5,10083,0.3576370179653168,False
29,test_flat,-5,10083,0.35154595971107483,False
29,test_flat,0,10083,0.3512686491012573,False
29,test_flat,5,10083,0.3525349497795105,False
43,test_flat,-5,10083,0.24707238376140594,False
43,test_flat,0,10083,0.25105053186416626,False
43,test_flat,5,10083,0.2587217688560486,False
17,test_sharp,-5,17879,0.26392436027526855,False
17,test_sharp,0,17879,0.25836628675460815,False
17,test_sharp,5,17879,0.2630945146083832,False
29,test_sharp,-5,17879,0.28667259216308594,False
29,test_sharp,0,17879,0.2833024561405182,False
29,test_sharp,5,17879,0.2880856394767761,False
43,test_sharp,-5,17879,0.6826171278953552,False
43,test_sharp,0,17879,0.6792309284210205,False
43,test_sharp,5,17879,0.6844499707221985,False
