seed,alpha,method,q_N,calibration_trajectories,calibration_frames
17,0.2,point,0.0,114,8343
17,0.2,frame_constraint,0.05480378270149233,114,8343
17,0.2,trajectory_coordinate_box,0.30362290143966675,114,8343
17,0.2,trajectory_constraint,0.26113775968551634,114,8343
17,0.1,point,0.0,114,8343
17,0.1,frame_constraint,0.11557513475418091,114,8343
17,0.1,trajectory_coordinate_box,0.3576802611351013,114,8343
17,0.1,trajectory_constraint,0.3327372491359711,114,8343
17,0.05,point,0.0,114,8343
17,0.05,frame_constraint,0.16489783525466917,114,8343
17,0.05,trajectory_coordinate_box,0.449983149766922,114,8343
17,0.05,trajectory_constraint,0.4124957621097564,114,8343
29,0.2,point,0.0,114,8343
29,0.2,frame_constraint,0.0481640413403511,114,8343
29,0.2,trajectory_coordinate_box,0.2818092107772827,114,8343
29,0.2,trajectory_constraint,0.24723359942436218,114,8343
29,0.1,point,0.0,114,8343
29,0.1,frame_constraint,0.10359617471694946,114,8343
29,0.1,trajectory_coordinate_box,0.34095337986946106,114,8343
29,0.1,trajectory_constraint,0.3267211705446243,114,8343
29,0.05,point,0.0,114,8343
29,0.05,frame_constraint,0.1472848236560822,114,8343
29,0.05,trajectory_coordinate_box,0.39721858501434326,114,8343
29,0.05,trajectory_constraint,0.35701688528060915,114,8343
43,0.2,point,0.0,114,8343
43,0.2,frame_constraint,0.054829663410782825,114,8343
43,0.2,trajectory_coordinate_box,0.31196674704551697,114,8343
43,0.2,trajectory_constraint,0.26135164946317674,114,8343
43,0.1,point,0.0,114,8343
43,0.1,frame_constraint,0.10950703024864197,114,8343
43,0.1,trajectory_coordinate_box,0.3761518597602844,114,8343
43,0.1,trajectory_constraint,0.3418135225772858,114,8343
43,0.05,point,0.0,114,8343
43,0.05,frame_constraint,0.16213500499725342,114,8343
43,0.05,trajectory_coordinate_box,0.4748133718967438,114,8343
43,0.05,trajectory_constraint,0.3978504657745361,114,8343
