seed,split,method,frames,trajectories,mae_Fx_N,mae_Fy_N,mae_Fn_N,mae_xyz_mean_N,rmse_xyz_N,selected_epoch
17,train,cnn,33982,453,0.022957565262913704,0.02099505253136158,0.014257506467401981,0.019403373822569847,0.029647385701537132,28
17,train,train_mean,33982,453,0.08720492571592331,0.07537677884101868,0.18535226583480835,0.11597798019647598,0.20544198155403137,28
17,validation,cnn,5983,75,0.04656088724732399,0.04204799234867096,0.02429819479584694,0.037635695189237595,0.06205381453037262,28
17,validation,train_mean,5983,75,0.0877133160829544,0.07907337695360184,0.18750227987766266,0.11809632182121277,0.2096702754497528,28
17,calibration,cnn,8343,114,0.04590821638703346,0.04372284933924675,0.02573503740131855,0.03845536708831787,0.06397693604230881,28
17,calibration,train_mean,8343,114,0.08153141289949417,0.07444163411855698,0.18702933192253113,0.11433412879705429,0.2031637728214264,28
17,test_id,cnn,9003,116,0.053137458860874176,0.05041366443037987,0.027121391147375107,0.04355750232934952,0.07478144019842148,28
17,test_id,train_mean,9003,116,0.08393018692731857,0.07903795689344406,0.19312284886837006,0.11869699507951736,0.2155592292547226,28
17,test_batch6,cnn,11364,153,0.04953097924590111,0.04680684953927994,0.024711139500141144,0.04034965857863426,0.06808041781187057,28
17,test_batch6,train_mean,11364,153,0.0821978971362114,0.07931572198867798,0.17815051972866058,0.11322138458490372,0.19480830430984497,28
17,test_flat,cnn,13045,298,0.502789318561554,0.40683093667030334,0.18405388295650482,0.36455804109573364,0.42197611927986145,28
17,test_flat,train_mean,13045,298,0.11569257825613022,0.12631160020828247,0.17149201035499573,0.13783206045627594,0.2139149308204651,28
17,test_sharp,cnn,20908,304,0.3541814982891083,0.20451804995536804,0.23433968424797058,0.2643463909626007,0.3706052601337433,28
17,test_sharp,train_mean,20908,304,0.0926603376865387,0.0959993228316307,0.18428614735603333,0.12431526929140091,0.22226721048355103,28
29,train,cnn,33982,453,0.020516876131296158,0.01708792895078659,0.015148896723985672,0.01758456788957119,0.027486851438879967,29
29,train,train_mean,33982,453,0.08720492571592331,0.07537677884101868,0.18535226583480835,0.11597798019647598,0.20544198155403137,29
29,validation,cnn,5983,75,0.04647569730877876,0.031896404922008514,0.026076054200530052,0.03481605276465416,0.05855954438447952,29
29,validation,train_mean,5983,75,0.0877133160829544,0.07907337695360184,0.18750227987766266,0.11809632182121277,0.2096702754497528,29
29,calibration,cnn,8343,114,0.0458136610686779,0.037845030426979065,0.02717134729027748,0.03694334626197815,0.05988939851522446,29
29,calibration,train_mean,8343,114,0.08153141289949417,0.07444163411855698,0.18702933192253113,0.11433412879705429,0.2031637728214264,29
29,test_id,cnn,9003,116,0.04943802207708359,0.03894095867872238,0.028201470151543617,0.03886014595627785,0.06637921184301376,29
29,test_id,train_mean,9003,116,0.08393018692731857,0.07903795689344406,0.19312284886837006,0.11869699507951736,0.2155592292547226,29
29,test_batch6,cnn,11364,153,0.044092923402786255,0.03776242583990097,0.023754464462399483,0.035203270614147186,0.059947069734334946,29
29,test_batch6,train_mean,11364,153,0.0821978971362114,0.07931572198867798,0.17815051972866058,0.11322138458490372,0.19480830430984497,29
29,test_flat,cnn,13045,298,0.5334120392799377,0.35332825779914856,0.18120621144771576,0.3559821546077728,0.4165197014808655,29
29,test_flat,train_mean,13045,298,0.11569257825613022,0.12631160020828247,0.17149201035499573,0.13783206045627594,0.2139149308204651,29
29,test_sharp,cnn,20908,304,0.34094226360321045,0.27798932790756226,0.2419404685497284,0.28695735335350037,0.3884580433368683,29
29,test_sharp,train_mean,20908,304,0.0926603376865387,0.0959993228316307,0.18428614735603333,0.12431526929140091,0.22226721048355103,29
43,train,cnn,33982,453,0.023199966177344322,0.021349240094423294,0.014699965715408325,0.019749723374843597,0.029966384172439575,30
43,train,train_mean,33982,453,0.08720492571592331,0.07537677884101868,0.18535226583480835,0.11597798019647598,0.20544198155403137,30
43,validation,cnn,5983,75,0.050791919231414795,0.04368136078119278,0.02627468854188919,0.04024932160973549,0.0660756528377533,30
43,validation,train_mean,5983,75,0.0877133160829544,0.07907337695360184,0.18750227987766266,0.11809632182121277,0.2096702754497528,30
43,calibration,cnn,8343,114,0.04827436804771423,0.04926025867462158,0.027176087722182274,0.04157023876905441,0.06578002125024796,30
43,calibration,train_mean,8343,114,0.08153141289949417,0.07444163411855698,0.18702933192253113,0.11433412879705429,0.2031637728214264,30
43,test_id,cnn,9003,116,0.05256601423025131,0.05365345627069473,0.0276012122631073,0.04460689425468445,0.07579243183135986,30
43,test_id,train_mean,9003,116,0.08393018692731857,0.07903795689344406,0.19312284886837006,0.11869699507951736,0.2155592292547226,30
43,test_batch6,cnn,11364,153,0.048211682587862015,0.052216071635484695,0.025268936529755592,0.04189889878034592,0.06877321749925613,30
43,test_batch6,train_mean,11364,153,0.0821978971362114,0.07931572198867798,0.17815051972866058,0.11322138458490372,0.19480830430984497,30
43,test_flat,cnn,13045,298,0.3543749451637268,0.20959524810314178,0.2160591185092926,0.260009765625,0.3284701406955719,30
43,test_flat,train_mean,13045,298,0.11569257825613022,0.12631160020828247,0.17149201035499573,0.13783206045627594,0.2139149308204651,30
43,test_sharp,cnn,20908,304,0.5732308626174927,0.7268620729446411,0.7633610367774963,0.6878179907798767,0.9507327079772949,30
43,test_sharp,train_mean,20908,304,0.0926603376865387,0.0959993228316307,0.18428614735603333,0.12431526929140091,0.22226721048355103,30
