split,method,frame_joint_constraint_coverage,trajectory_joint_constraint_coverage,mean_g_upper_margin_N
test_id,point,0.34303380354696583,0.0,0.0
test_batch6,point,0.3709667957292033,0.0,0.0
test_flat,point,0.6860099655040245,0.3881431767337808,0.0
test_sharp,point,0.4766437089471334,0.28399122807017546,0.0
test_id,frame_constraint,0.896219778592321,0.15804597701149425,0.10955944657325745
test_batch6,frame_constraint,0.8797371817435176,0.16122004357298472,0.10955944657325745
test_flat,frame_constraint,0.8496742046761211,0.5704697986577182,0.10955944657325745
test_sharp,frame_constraint,0.8266851603851796,0.4287280701754386,0.10955944657325745
test_id,trajectory_coordinate_box,0.9986671109630123,0.9913793103448277,0.6878168036558465
test_batch6,trajectory_coordinate_box,0.9996480112636396,0.9912854030501089,0.6897305075083423
test_flat,trajectory_coordinate_box,0.9986968187044845,0.9876957494407158,0.68430840280927
test_sharp,trajectory_coordinate_box,0.9966201135131688,0.9594298245614036,0.6847391051873571
test_id,trajectory_constraint,0.9924469621237365,0.8735632183908045,0.3337573140859604
test_batch6,trajectory_constraint,0.9939575266924793,0.8823529411764706,0.33375731408596043
test_flat,trajectory_constraint,0.9687236489076275,0.8467561521252797,0.3337573140859604
test_sharp,trajectory_constraint,0.9810439385243289,0.8201754385964911,0.3337573140859604
