contrast,first,second,domain,metric,estimate_difference,ci_low,ci_high,unit,percentage_point_difference,percentage_point_ci_low,percentage_point_ci_high,n_environments,ci_method
WM_visuotactile - WM_vision,WM_visuotactile,WM_vision,id,strict_lift,0.06666666666666665,-0.0444444444444444,0.16666666666666685,proportion_difference,6.666666666666665,-4.444444444444439,16.666666666666686,30,paired_environment_percentile_bootstrap_95pct
WM_visuotactile - WM_vision,WM_visuotactile,WM_vision,id,joint_success,0.07777777777777778,0.011111111111111127,0.14444444444444446,proportion_difference,7.777777777777778,1.1111111111111127,14.444444444444446,30,paired_environment_percentile_bootstrap_95pct
WM_visuotactile - WM_vision,WM_visuotactile,WM_vision,id,force_violation,-0.17777777777777792,-0.2888888888888889,-0.07777777777777783,proportion_difference,-17.777777777777793,-28.888888888888893,-7.777777777777784,30,paired_environment_percentile_bootstrap_95pct
WM_visuotactile - WM_vision,WM_visuotactile,WM_vision,id,peak_N,-3.463574249214597,-4.713954200678401,-2.305944956243037,native_metric_difference,,,,30,paired_environment_percentile_bootstrap_95pct
WM_visuotactile - WM_vision,WM_visuotactile,WM_vision,id,max_height_m,-0.16957629935673646,-0.1852283699863377,-0.15316423204332955,native_metric_difference,,,,30,paired_environment_percentile_bootstrap_95pct
WM_visuotactile - WM_vision,WM_visuotactile,WM_vision,id,setup_peak_N,0.0,0.0,0.0,native_metric_difference,,,,30,paired_environment_percentile_bootstrap_95pct
WM_visuotactile - WM_vision,WM_visuotactile,WM_vision,id,strict_longest,8.855555555555554,3.5302777777777763,13.666666666666671,native_metric_difference,,,,30,paired_environment_percentile_bootstrap_95pct
WM_visuotactile - WM_vision,WM_visuotactile,WM_vision,geometry_ood,strict_lift,0.15555555555555556,0.011111111111111072,0.28888888888888886,proportion_difference,15.555555555555555,1.1111111111111072,28.888888888888886,30,paired_environment_percentile_bootstrap_95pct
WM_visuotactile - WM_vision,WM_visuotactile,WM_vision,geometry_ood,joint_success,-0.04444444444444448,-0.13333333333333333,0.04444444444444445,proportion_difference,-4.444444444444448,-13.333333333333334,4.4444444444444455,30,paired_environment_percentile_bootstrap_95pct
WM_visuotactile - WM_vision,WM_visuotactile,WM_vision,geometry_ood,force_violation,0.16666666666666663,0.05555555555555569,0.2777777777777778,proportion_difference,16.666666666666664,5.55555555555557,27.77777777777778,30,paired_environment_percentile_bootstrap_95pct
