group,domain,metric,metric_type,estimate,ci_low,ci_high,n_environments,n_policies,ci_method
WM_vision,id,strict_lift,rate,0.7666666666666667,0.6888888888888888,0.8444444444444444,30,3,paired_environment_percentile_bootstrap_95pct
WM_vision,geometry_ood,strict_lift,rate,0.5444444444444444,0.4444444444444444,0.6444444444444444,30,3,paired_environment_percentile_bootstrap_95pct
WM_vision,physics_ood,strict_lift,rate,0.8,0.7,0.888888888888889,30,3,paired_environment_percentile_bootstrap_95pct
WM_vision,combined_ood,strict_lift,rate,0.47777777777777775,0.3222222222222222,0.6333333333333333,30,3,paired_environment_percentile_bootstrap_95pct
WM_vision,all,strict_lift,rate,0.6472222222222221,0.5916666666666667,0.7027777777777777,120,3,paired_environment_percentile_bootstrap_95pct
WM_vision,id,joint_success,rate,0.2,0.08888888888888888,0.3333333333333333,30,3,paired_environment_percentile_bootstrap_95pct
WM_vision,geometry_ood,joint_success,rate,0.23333333333333334,0.13333333333333333,0.3444444444444444,30,3,paired_environment_percentile_bootstrap_95pct
WM_vision,physics_ood,joint_success,rate,0.01111111111111111,0.0,0.03333333333333333,30,3,paired_environment_percentile_bootstrap_95pct
WM_vision,combined_ood,joint_success,rate,0.01111111111111111,0.0,0.03333333333333333,30,3,paired_environment_percentile_bootstrap_95pct
WM_vision,all,joint_success,rate,0.11388888888888889,0.075,0.15833333333333333,120,3,paired_environment_percentile_bootstrap_95pct
WM_vision,id,force_violation,rate,0.7555555555555556,0.611111111111111,0.888888888888889,30,3,paired_environment_percentile_bootstrap_95pct
WM_vision,geometry_ood,force_violation,rate,0.5,0.34444444444444444,0.6555555555555556,30,3,paired_environment_percentile_bootstrap_95pct
WM_vision,physics_ood,force_violation,rate,0.9777777777777777,0.9444444444444444,1.0,30,3,paired_environment_percentile_bootstrap_95pct
WM_vision,combined_ood,force_violation,rate,0.7666666666666667,0.6555555555555556,0.8666666666666667,30,3,paired_environment_percentile_bootstrap_95pct
WM_vision,all,force_violation,rate,0.75,0.6888194444444444,0.8056249999999996,120,3,paired_environment_percentile_bootstrap_95pct
WM_vision,id,peak_N,mean,11.558690876430935,10.24801623834504,12.913145562940171,30,3,paired_environment_percentile_bootstrap_95pct
WM_vision,geometry_ood,peak_N,mean,9.060516219337782,7.223779880702495,11.047777268133226,30,3,paired_environment_percentile_bootstrap_95pct
WM_vision,physics_ood,peak_N,mean,13.513903262880113,12.323829615778394,14.771560323105916,30,3,paired_environment_percentile_bootstrap_95pct
WM_vision,combined_ood,peak_N,mean,11.15019068982866,9.50587943073776,12.903311616314781,30,3,paired_environment_percentile_bootstrap_95pct
WM_vision,all,peak_N,mean,11.320825262119373,10.532831724530293,12.118543397057802,120,3,paired_environment_percentile_bootstrap_95pct
WM_vision,id,max_height_m,mean,0.27751602795388963,0.25852776631298996,0.2949456377120482,30,3,paired_environment_percentile_bootstrap_95pct
WM_vision,geometry_ood,max_height_m,mean,0.21133086702870463,0.17445191080104752,0.2477544592129076,30,3,paired_environment_percentile_bootstrap_95pct
WM_vision,physics_ood,max_height_m,mean,0.23025117606868864,0.2111804498707675,0.24697074183296838,30,3,paired_environment_percentile_bootstrap_95pct
WM_vision,combined_ood,max_height_m,mean,0.17124795637727303,0.12457524047703676,0.21664928960765892,30,3,paired_environment_percentile_bootstrap_95pct
WM_vision,all,max_height_m,mean,0.222586506857139,0.20637789977838109,0.23913339887933233,120,3,paired_environment_percentile_bootstrap_95pct
WM_vision,id,setup_peak_N,mean,0.0,0.0,0.0,30,3,paired_environment_percentile_bootstrap_95pct
WM_vision,geometry_ood,setup_peak_N,mean,0.0,0.0,0.0,30,3,paired_environment_percentile_bootstrap_95pct
WM_vision,physics_ood,setup_peak_N,mean,0.0,0.0,0.0,30,3,paired_environment_percentile_bootstrap_95pct
WM_vision,combined_ood,setup_peak_N,mean,0.0,0.0,0.0,30,3,paired_environment_percentile_bootstrap_95pct
WM_vision,all,setup_peak_N,mean,0.0,0.0,0.0,120,3,paired_environment_percentile_bootstrap_95pct
WM_vision,id,strict_longest,mean,42.422222222222224,38.443888888888885,46.36666666666667,30,3,paired_environment_percentile_bootstrap_95pct
WM_vision,geometry_ood,strict_longest,mean,29.0,22.476944444444445,35.72222222222222,30,3,paired_environment_percentile_bootstrap_95pct
WM_vision,physics_ood,strict_longest,mean,37.011111111111106,32.67777777777778,40.85611111111111,30,3,paired_environment_percentile_bootstrap_95pct
WM_vision,combined_ood,strict_longest,mean,25.055555555555554,17.34388888888889,32.666666666666664,30,3,paired_environment_percentile_bootstrap_95pct
WM_vision,all,strict_longest,mean,33.37222222222222,30.502638888888892,36.333819444444444,120,3,paired_environment_percentile_bootstrap_95pct
WM_BC_vision,id,strict_lift,rate,0.5666666666666667,0.4666666666666667,0.6666666666666666,30,3,paired_environment_percentile_bootstrap_95pct
WM_BC_vision,geometry_ood,strict_lift,rate,0.2111111111111111,0.13333333333333333,0.28888888888888886,30,3,paired_environment_percentile_bootstrap_95pct
WM_BC_vision,physics_ood,strict_lift,rate,0.3888888888888889,0.28888888888888886,0.4888888888888889,30,3,paired_environment_percentile_bootstrap_95pct
WM_BC_vision,combined_ood,strict_lift,rate,0.1111111111111111,0.05555555555555555,0.16666666666666666,30,3,paired_environment_percentile_bootstrap_95pct
WM_BC_vision,all,strict_lift,rate,0.3194444444444444,0.2777777777777778,0.36118055555555517,120,3,paired_environment_percentile_bootstrap_95pct
WM_BC_vision,id,joint_success,rate,0.27777777777777773,0.16666666666666666,0.4,30,3,paired_environment_percentile_bootstrap_95pct
WM_BC_vision,geometry_ood,joint_success,rate,0.05555555555555555,0.01111111111111111,0.11138888888888737,30,3,paired_environment_percentile_bootstrap_95pct
WM_BC_vision,physics_ood,joint_success,rate,0.14444444444444443,0.05555555555555555,0.24444444444444444,30,3,paired_environment_percentile_bootstrap_95pct
WM_BC_vision,combined_ood,joint_success,rate,0.04444444444444444,0.01111111111111111,0.08888888888888888,30,3,paired_environment_percentile_bootstrap_95pct
WM_BC_vision,all,joint_success,rate,0.13055555555555554,0.09166666666666666,0.1722222222222222,120,3,paired_environment_percentile_bootstrap_95pct
WM_BC_vision,id,force_violation,rate,0.28888888888888886,0.17777777777777776,0.4,30,3,paired_environment_percentile_bootstrap_95pct
WM_BC_vision,geometry_ood,force_violation,rate,0.15555555555555553,0.08888888888888888,0.23333333333333334,30,3,paired_environment_percentile_bootstrap_95pct
WM_BC_vision,physics_ood,force_violation,rate,0.3444444444444444,0.2222222222222222,0.4666666666666667,30,3,paired_environment_percentile_bootstrap_95pct
WM_BC_vision,combined_ood,force_violation,rate,0.1111111111111111,0.04444444444444444,0.17777777777777776,30,3,paired_environment_percentile_bootstrap_95pct
WM_BC_vision,all,force_violation,rate,0.22499999999999998,0.175,0.2722222222222222,120,3,paired_environment_percentile_bootstrap_95pct
WM_BC_vision,id,peak_N,mean,6.204819014999601,4.9563032499618,7.541246813270781,30,3,paired_environment_percentile_bootstrap_95pct
WM_BC_vision,geometry_ood,peak_N,mean,2.660191869073444,1.7021722179899612,3.622707807372014,30,3,paired_environment_percentile_bootstrap_95pct
WM_BC_vision,physics_ood,peak_N,mean,6.98888678153356,5.175105392966005,9.044501847624778,30,3,paired_environment_percentile_bootstrap_95pct
WM_BC_vision,combined_ood,peak_N,mean,2.4227492782804703,1.5388796923889054,3.4032999887069053,30,3,paired_environment_percentile_bootstrap_95pct
WM_BC_vision,all,peak_N,mean,4.569161735971769,3.918463072323551,5.245339353366029,120,3,paired_environment_percentile_bootstrap_95pct
WM_BC_vision,id,max_height_m,mean,0.09428072698356119,0.0771627445412418,0.111413823451019,30,3,paired_environment_percentile_bootstrap_95pct
WM_BC_vision,geometry_ood,max_height_m,mean,0.03381049219104979,0.021142213630179565,0.046769693212376694,30,3,paired_environment_percentile_bootstrap_95pct
WM_BC_vision,physics_ood,max_height_m,mean,0.06413903861410088,0.049563044605569706,0.07896688464097679,30,3,paired_environment_percentile_bootstrap_95pct
WM_BC_vision,combined_ood,max_height_m,mean,0.020648856398959956,0.011509502088754541,0.029933188232696716,30,3,paired_environment_percentile_bootstrap_95pct
WM_BC_vision,all,max_height_m,mean,0.05321977854691795,0.04660383614254897,0.06029063614185563,120,3,paired_environment_percentile_bootstrap_95pct
WM_BC_vision,id,setup_peak_N,mean,0.0,0.0,0.0,30,3,paired_environment_percentile_bootstrap_95pct
