contrast,first,second,domain,metric,estimate_difference,ci_low,ci_high,unit,percentage_point_difference,percentage_point_ci_low,percentage_point_ci_high,n_environments,ci_method
WM_visuotactile - WM_vision,WM_visuotactile,WM_vision,id,strict_lift,0.46666666666666673,0.20000000000000007,0.7000000000000001,proportion_difference,46.66666666666667,20.000000000000007,70.0,10,paired_environment_percentile_bootstrap_95pct
WM_visuotactile - WM_vision,WM_visuotactile,WM_vision,id,joint_success,0.1,-0.06666666666666668,0.33333333333333337,proportion_difference,10.0,-6.666666666666668,33.333333333333336,10,paired_environment_percentile_bootstrap_95pct
WM_visuotactile - WM_vision,WM_visuotactile,WM_vision,id,force_violation,0.033333333333333326,-0.06666666666666671,0.13333333333333341,proportion_difference,3.3333333333333326,-6.6666666666666705,13.333333333333341,10,paired_environment_percentile_bootstrap_95pct
WM_visuotactile - WM_vision,WM_visuotactile,WM_vision,id,peak_N,-1.900054438908894,-3.5090599219004317,-0.5451357312997177,native_metric_difference,,,,10,paired_environment_percentile_bootstrap_95pct
WM_visuotactile - WM_vision,WM_visuotactile,WM_vision,id,max_height_m,0.005003578340013803,-0.02451931624983746,0.031643336977188796,native_metric_difference,,,,10,paired_environment_percentile_bootstrap_95pct
WM_visuotactile - WM_vision,WM_visuotactile,WM_vision,id,setup_peak_N,0.0,0.0,0.0,native_metric_difference,,,,10,paired_environment_percentile_bootstrap_95pct
WM_visuotactile - WM_vision,WM_visuotactile,WM_vision,ood,strict_lift,0.0,0.0,0.0,proportion_difference,0.0,0.0,0.0,10,paired_environment_percentile_bootstrap_95pct
WM_visuotactile - WM_vision,WM_visuotactile,WM_vision,ood,joint_success,0.0,0.0,0.0,proportion_difference,0.0,0.0,0.0,10,paired_environment_percentile_bootstrap_95pct
WM_visuotactile - WM_vision,WM_visuotactile,WM_vision,ood,force_violation,0.09999999999999998,0.0,0.2333333333333334,proportion_difference,9.999999999999998,0.0,23.33333333333334,10,paired_environment_percentile_bootstrap_95pct
WM_visuotactile - WM_vision,WM_visuotactile,WM_vision,ood,peak_N,-0.4573661963144957,-2.69753427505493,1.106040126880009,native_metric_difference,,,,10,paired_environment_percentile_bootstrap_95pct
WM_visuotactile - WM_vision,WM_visuotactile,WM_vision,ood,max_height_m,0.0,0.0,0.0,native_metric_difference,,,,10,paired_environment_percentile_bootstrap_95pct
WM_visuotactile - WM_vision,WM_visuotactile,WM_vision,ood,setup_peak_N,0.0,0.0,0.0,native_metric_difference,,,,10,paired_environment_percentile_bootstrap_95pct
WM_visuotactile - WM_vision,WM_visuotactile,WM_vision,all,strict_lift,0.23333333333333336,0.10000000000000003,0.35000000000000003,proportion_difference,23.333333333333336,10.000000000000004,35.0,20,paired_environment_percentile_bootstrap_95pct
WM_visuotactile - WM_vision,WM_visuotactile,WM_vision,all,joint_success,0.05,-0.03333333333333334,0.16666666666666669,proportion_difference,5.0,-3.333333333333334,16.666666666666668,20,paired_environment_percentile_bootstrap_95pct
WM_visuotactile - WM_vision,WM_visuotactile,WM_vision,all,force_violation,0.06666666666666676,-0.016666666666666607,0.15000000000000013,proportion_difference,6.666666666666677,-1.6666666666666607,15.000000000000014,20,paired_environment_percentile_bootstrap_95pct
WM_visuotactile - WM_vision,WM_visuotactile,WM_vision,all,peak_N,-1.178710317611694,-2.4993076958258955,-0.11646916627883963,native_metric_difference,,,,20,paired_environment_percentile_bootstrap_95pct
WM_visuotactile - WM_vision,WM_visuotactile,WM_vision,all,max_height_m,0.0025017891700069017,-0.01225965812491873,0.015821668488594398,native_metric_difference,,,,20,paired_environment_percentile_bootstrap_95pct
WM_visuotactile - WM_vision,WM_visuotactile,WM_vision,all,setup_peak_N,0.0,0.0,0.0,native_metric_difference,,,,20,paired_environment_percentile_bootstrap_95pct
