group,domain,metric,metric_type,estimate,ci_low,ci_high,n_environments,n_policies,ci_method
WM_vision,id,strict_lift,rate,0.4666666666666666,0.2333333333333333,0.7,10,3,paired_environment_percentile_bootstrap_95pct
WM_vision,ood,strict_lift,rate,0.0,0.0,0.0,10,3,paired_environment_percentile_bootstrap_95pct
WM_vision,all,strict_lift,rate,0.2333333333333333,0.11666666666666665,0.35,20,3,paired_environment_percentile_bootstrap_95pct
WM_vision,id,joint_success,rate,0.2333333333333333,0.0,0.4666666666666667,10,3,paired_environment_percentile_bootstrap_95pct
WM_vision,ood,joint_success,rate,0.0,0.0,0.0,10,3,paired_environment_percentile_bootstrap_95pct
WM_vision,all,joint_success,rate,0.11666666666666665,0.0,0.23333333333333334,20,3,paired_environment_percentile_bootstrap_95pct
WM_vision,id,force_violation,rate,0.5666666666666667,0.26666666666666666,0.8666666666666666,10,3,paired_environment_percentile_bootstrap_95pct
WM_vision,ood,force_violation,rate,0.6,0.3,0.9,10,3,paired_environment_percentile_bootstrap_95pct
WM_vision,all,force_violation,rate,0.5833333333333333,0.36666666666666664,0.8,20,3,paired_environment_percentile_bootstrap_95pct
WM_vision,id,peak_N,mean,10.940632899602253,8.126251740852991,13.90035674969355,10,3,paired_environment_percentile_bootstrap_95pct
WM_vision,ood,peak_N,mean,11.335845867792766,7.871427317063014,15.231263592243193,10,3,paired_environment_percentile_bootstrap_95pct
WM_vision,all,peak_N,mean,11.13823938369751,8.814132238030435,13.62273105899493,20,3,paired_environment_percentile_bootstrap_95pct
WM_vision,id,max_height_m,mean,0.12480382807552814,0.09842162320700784,0.15022166109333435,10,3,paired_environment_percentile_bootstrap_95pct
WM_vision,ood,max_height_m,mean,0.0,0.0,0.0,10,3,paired_environment_percentile_bootstrap_95pct
WM_vision,all,max_height_m,mean,0.06240191403776407,0.04921081160350392,0.07511083054666717,20,3,paired_environment_percentile_bootstrap_95pct
WM_vision,id,setup_peak_N,mean,0.0,0.0,0.0,10,3,paired_environment_percentile_bootstrap_95pct
WM_vision,ood,setup_peak_N,mean,0.0,0.0,0.0,10,3,paired_environment_percentile_bootstrap_95pct
WM_vision,all,setup_peak_N,mean,0.0,0.0,0.0,20,3,paired_environment_percentile_bootstrap_95pct
WM_visuotactile,id,strict_lift,rate,0.9333333333333333,0.8333333333333334,1.0,10,3,paired_environment_percentile_bootstrap_95pct
WM_visuotactile,ood,strict_lift,rate,0.0,0.0,0.0,10,3,paired_environment_percentile_bootstrap_95pct
WM_visuotactile,all,strict_lift,rate,0.4666666666666667,0.4166666666666667,0.5,20,3,paired_environment_percentile_bootstrap_95pct
WM_visuotactile,id,joint_success,rate,0.3333333333333333,0.06666666666666667,0.6,10,3,paired_environment_percentile_bootstrap_95pct
WM_visuotactile,ood,joint_success,rate,0.0,0.0,0.0,10,3,paired_environment_percentile_bootstrap_95pct
WM_visuotactile,all,joint_success,rate,0.16666666666666666,0.03333333333333333,0.3,20,3,paired_environment_percentile_bootstrap_95pct
WM_visuotactile,id,force_violation,rate,0.6,0.3333333333333333,0.8666666666666666,10,3,paired_environment_percentile_bootstrap_95pct
WM_visuotactile,ood,force_violation,rate,0.7,0.4333333333333333,0.9333333333333333,10,3,paired_environment_percentile_bootstrap_95pct
WM_visuotactile,all,force_violation,rate,0.65,0.45,0.8333333333333333,20,3,paired_environment_percentile_bootstrap_95pct
WM_visuotactile,id,peak_N,mean,9.040578460693359,7.209044109185537,10.648069850206372,10,3,paired_environment_percentile_bootstrap_95pct
WM_visuotactile,ood,peak_N,mean,10.87847967147827,8.536970738172531,13.268785225152968,10,3,paired_environment_percentile_bootstrap_95pct
WM_visuotactile,all,peak_N,mean,9.959529066085816,8.499797647198042,11.4056890630722,20,3,paired_environment_percentile_bootstrap_95pct
WM_visuotactile,id,max_height_m,mean,0.12980740641554195,0.11886834690968194,0.13923156822100283,10,3,paired_environment_percentile_bootstrap_95pct
WM_visuotactile,ood,max_height_m,mean,0.0,0.0,0.0,10,3,paired_environment_percentile_bootstrap_95pct
WM_visuotactile,all,max_height_m,mean,0.06490370320777097,0.05943417345484097,0.06961578411050141,20,3,paired_environment_percentile_bootstrap_95pct
WM_visuotactile,id,setup_peak_N,mean,0.0,0.0,0.0,10,3,paired_environment_percentile_bootstrap_95pct
WM_visuotactile,ood,setup_peak_N,mean,0.0,0.0,0.0,10,3,paired_environment_percentile_bootstrap_95pct
WM_visuotactile,all,setup_peak_N,mean,0.0,0.0,0.0,20,3,paired_environment_percentile_bootstrap_95pct
