group,method,training_seed,domain,metric,estimate,n_environments
WM_vision,vision_height_seed0_rl,0,id,strict_lift,0.6,10
WM_vision,vision_height_seed1_rl,1,id,strict_lift,0.5,10
WM_vision,vision_height_seed2_rl,2,id,strict_lift,0.3,10
WM_vision,vision_height_seed0_rl,0,ood,strict_lift,0.0,10
WM_vision,vision_height_seed1_rl,1,ood,strict_lift,0.0,10
WM_vision,vision_height_seed2_rl,2,ood,strict_lift,0.0,10
WM_vision,vision_height_seed0_rl,0,all,strict_lift,0.3,20
WM_vision,vision_height_seed1_rl,1,all,strict_lift,0.25,20
WM_vision,vision_height_seed2_rl,2,all,strict_lift,0.15,20
WM_vision,vision_height_seed0_rl,0,id,joint_success,0.3,10
WM_vision,vision_height_seed1_rl,1,id,joint_success,0.3,10
WM_vision,vision_height_seed2_rl,2,id,joint_success,0.1,10
WM_vision,vision_height_seed0_rl,0,ood,joint_success,0.0,10
WM_vision,vision_height_seed1_rl,1,ood,joint_success,0.0,10
WM_vision,vision_height_seed2_rl,2,ood,joint_success,0.0,10
WM_vision,vision_height_seed0_rl,0,all,joint_success,0.15,20
WM_vision,vision_height_seed1_rl,1,all,joint_success,0.15,20
WM_vision,vision_height_seed2_rl,2,all,joint_success,0.05,20
WM_vision,vision_height_seed0_rl,0,id,force_violation,0.5,10
WM_vision,vision_height_seed1_rl,1,id,force_violation,0.6,10
WM_vision,vision_height_seed2_rl,2,id,force_violation,0.6,10
WM_vision,vision_height_seed0_rl,0,ood,force_violation,0.6,10
WM_vision,vision_height_seed1_rl,1,ood,force_violation,0.6,10
WM_vision,vision_height_seed2_rl,2,ood,force_violation,0.6,10
WM_vision,vision_height_seed0_rl,0,all,force_violation,0.55,20
WM_vision,vision_height_seed1_rl,1,all,force_violation,0.6,20
WM_vision,vision_height_seed2_rl,2,all,force_violation,0.6,20
WM_vision,vision_height_seed0_rl,0,id,peak_N,11.800405478477478,10
WM_vision,vision_height_seed1_rl,1,id,peak_N,11.309443759918214,10
WM_vision,vision_height_seed2_rl,2,id,peak_N,9.712049460411071,10
WM_vision,vision_height_seed0_rl,0,ood,peak_N,10.508972215652467,10
WM_vision,vision_height_seed1_rl,1,ood,peak_N,11.741416883468627,10
WM_vision,vision_height_seed2_rl,2,ood,peak_N,11.757148504257202,10
WM_vision,vision_height_seed0_rl,0,all,peak_N,11.154688847064971,20
WM_vision,vision_height_seed1_rl,1,all,peak_N,11.52543032169342,20
WM_vision,vision_height_seed2_rl,2,all,peak_N,10.734598982334138,20
WM_vision,vision_height_seed0_rl,0,id,max_height_m,0.12788039892911912,10
WM_vision,vision_height_seed1_rl,1,id,max_height_m,0.1209852259606123,10
WM_vision,vision_height_seed2_rl,2,id,max_height_m,0.12554585933685303,10
WM_vision,vision_height_seed0_rl,0,ood,max_height_m,0.0,10
WM_vision,vision_height_seed1_rl,1,ood,max_height_m,0.0,10
WM_vision,vision_height_seed2_rl,2,ood,max_height_m,0.0,10
WM_vision,vision_height_seed0_rl,0,all,max_height_m,0.06394019946455956,20
WM_vision,vision_height_seed1_rl,1,all,max_height_m,0.06049261298030615,20
WM_vision,vision_height_seed2_rl,2,all,max_height_m,0.06277292966842651,20
WM_vision,vision_height_seed0_rl,0,id,setup_peak_N,0.0,10
WM_vision,vision_height_seed1_rl,1,id,setup_peak_N,0.0,10
WM_vision,vision_height_seed2_rl,2,id,setup_peak_N,0.0,10
WM_vision,vision_height_seed0_rl,0,ood,setup_peak_N,0.0,10
WM_vision,vision_height_seed1_rl,1,ood,setup_peak_N,0.0,10
WM_vision,vision_height_seed2_rl,2,ood,setup_peak_N,0.0,10
WM_vision,vision_height_seed0_rl,0,all,setup_peak_N,0.0,20
WM_vision,vision_height_seed1_rl,1,all,setup_peak_N,0.0,20
WM_vision,vision_height_seed2_rl,2,all,setup_peak_N,0.0,20
WM_visuotactile,visuotactile_height_seed0_rl,0,id,strict_lift,0.9,10
WM_visuotactile,visuotactile_height_seed1_rl,1,id,strict_lift,1.0,10
WM_visuotactile,visuotactile_height_seed2_rl,2,id,strict_lift,0.9,10
WM_visuotactile,visuotactile_height_seed0_rl,0,ood,strict_lift,0.0,10
WM_visuotactile,visuotactile_height_seed1_rl,1,ood,strict_lift,0.0,10
WM_visuotactile,visuotactile_height_seed2_rl,2,ood,strict_lift,0.0,10
WM_visuotactile,visuotactile_height_seed0_rl,0,all,strict_lift,0.45,20
WM_visuotactile,visuotactile_height_seed1_rl,1,all,strict_lift,0.5,20
WM_visuotactile,visuotactile_height_seed2_rl,2,all,strict_lift,0.45,20
WM_visuotactile,visuotactile_height_seed0_rl,0,id,joint_success,0.4,10
WM_visuotactile,visuotactile_height_seed1_rl,1,id,joint_success,0.3,10
WM_visuotactile,visuotactile_height_seed2_rl,2,id,joint_success,0.3,10
WM_visuotactile,visuotactile_height_seed0_rl,0,ood,joint_success,0.0,10
WM_visuotactile,visuotactile_height_seed1_rl,1,ood,joint_success,0.0,10
WM_visuotactile,visuotactile_height_seed2_rl,2,ood,joint_success,0.0,10
WM_visuotactile,visuotactile_height_seed0_rl,0,all,joint_success,0.2,20
WM_visuotactile,visuotactile_height_seed1_rl,1,all,joint_success,0.15,20
WM_visuotactile,visuotactile_height_seed2_rl,2,all,joint_success,0.15,20
WM_visuotactile,visuotactile_height_seed0_rl,0,id,force_violation,0.5,10
WM_visuotactile,visuotactile_height_seed1_rl,1,id,force_violation,0.7,10
WM_visuotactile,visuotactile_height_seed2_rl,2,id,force_violation,0.6,10
WM_visuotactile,visuotactile_height_seed0_rl,0,ood,force_violation,0.6,10
WM_visuotactile,visuotactile_height_seed1_rl,1,ood,force_violation,0.7,10
WM_visuotactile,visuotactile_height_seed2_rl,2,ood,force_violation,0.8,10
WM_visuotactile,visuotactile_height_seed0_rl,0,all,force_violation,0.55,20
WM_visuotactile,visuotactile_height_seed1_rl,1,all,force_violation,0.7,20
WM_visuotactile,visuotactile_height_seed2_rl,2,all,force_violation,0.7,20
WM_visuotactile,visuotactile_height_seed0_rl,0,id,peak_N,8.356877732276917,10
WM_visuotactile,visuotactile_height_seed1_rl,1,id,peak_N,9.223506689071655,10
WM_visuotactile,visuotactile_height_seed2_rl,2,id,peak_N,9.541350960731506,10
WM_visuotactile,visuotactile_height_seed0_rl,0,ood,peak_N,10.626893186569214,10
WM_visuotactile,visuotactile_height_seed1_rl,1,ood,peak_N,10.427247667312622,10
WM_visuotactile,visuotactile_height_seed2_rl,2,ood,peak_N,11.58129816055298,10
WM_visuotactile,visuotactile_height_seed0_rl,0,all,peak_N,9.491885459423065,20
WM_visuotactile,visuotactile_height_seed1_rl,1,all,peak_N,9.825377178192138,20
WM_visuotactile,visuotactile_height_seed2_rl,2,all,peak_N,10.561324560642243,20
