method,domain,metric,estimate,ci_low,ci_high,environment_episodes,fixed_model_seeds,training_seed_sd,valid_bootstrap_resamples,per_model_estimates
vision_world_model,test_combined_ood,contact_forecast_fraction,0.3397777777777778,0.23154999999999998,0.44889444444444443,30,3,0.0,2000,"[0.3397777777777778, 0.3397777777777778, 0.3397777777777778]"
vision_world_model,test_combined_ood,contact_phase_endpoint_force_mae_N,2.1548529258650455,1.7061919649659107,2.6044529571803414,30,3,0.029697348286462578,2000,"[2.1411506416492228, 2.188927551414631, 2.134480584531284]"
vision_world_model,test_combined_ood,endpoint_force_mae_N,0.7719939812266176,0.5017937110836376,1.0610605724397362,30,3,0.01779047353401294,2000,"[0.759372654165331, 0.7923412941428315, 0.7642679953716902]"
vision_world_model,test_combined_ood,endpoint_force_mae_N_h1,0.7422947199534867,0.4801713560534014,1.0217238088174847,30,3,0.023452172586259874,2000,"[0.7192617466563739, 0.7661447383280567, 0.7414776748760293]"
vision_world_model,test_combined_ood,endpoint_force_mae_N_h2,0.7558080093833951,0.4906449075429442,1.0362709838198898,30,3,0.02131791404722581,2000,"[0.736977441335028, 0.7789532147313434, 0.7514933720838141]"
vision_world_model,test_combined_ood,endpoint_force_mae_N_h3,0.7722746280113374,0.499348180795922,1.0637340248736278,30,3,0.019461814988443994,2000,"[0.7623968213041209, 0.7946944908247571, 0.7597325719051339]"
vision_world_model,test_combined_ood,endpoint_force_mae_N_h4,0.7882338075564576,0.5086707978145245,1.0879725486987852,30,3,0.016057419384146582,2000,"[0.778294706615033, 0.8067588521766097, 0.7796478638777302]"
vision_world_model,test_combined_ood,endpoint_force_mae_N_h5,0.8013587412284112,0.513470603463056,1.1065907923134681,30,3,0.013141510496814607,2000,"[0.7999325549160993, 0.8151551746533907, 0.7889884941157437]"
vision_world_model,test_combined_ood,height_episode_coverage,0.8111111111111112,0.7111111111111111,0.9002777777777763,30,3,0.15752718754175365,2000,"[0.8666666666666667, 0.9333333333333333, 0.6333333333333333]"
vision_world_model,test_combined_ood,height_mae_m,0.004808954525169813,0.003214796729185899,0.00662084034469382,30,3,0.0003860386501497019,2000,"[0.005067234406124852, 0.00436518072330768, 0.004994448446076907]"
vision_world_model,test_combined_ood,height_mae_m_h1,0.0042071730186418995,0.002895367654439017,0.005690861551408658,30,3,0.0002205678768473761,2000,"[0.004210238058650349, 0.003985088594442156, 0.004426192402833193]"
vision_world_model,test_combined_ood,height_mae_m_h2,0.0044134989191230425,0.002958855867337358,0.0060702939303753515,30,3,0.0002855382539660565,2000,"[0.004510347275904172, 0.0040921326382279705, 0.004638016843236983]"
vision_world_model,test_combined_ood,height_mae_m_h3,0.004762721154369906,0.003145060601823422,0.006627199871945372,30,3,0.0003920615129199243,2000,"[0.00500021274858025, 0.004310193187395473, 0.004977757527133993]"
vision_world_model,test_combined_ood,height_mae_m_h4,0.005137533301345279,0.0033934874675008663,0.007135778302788957,30,3,0.0004876027563797852,2000,"[0.005524415345086406, 0.004589835083073315, 0.005298349475876118]"
vision_world_model,test_combined_ood,height_mae_m_h5,0.005523846232368939,0.0036572279130581324,0.007646198946733623,30,3,0.0006281648151138854,2000,"[0.006090958602403084, 0.004848654113399486, 0.0056319259813042465]"
vision_world_model,test_combined_ood,interval_peak_mae_N,1.6895290571583643,1.1042561726634148,2.312912018684325,30,3,0.08933757250073594,2000,"[1.6230587475829654, 1.7910831355253856, 1.6544452883667415]"
vision_world_model,test_combined_ood,interval_peak_mae_N_h1,1.6038335816948504,1.0298092991411687,2.1997015445232386,30,3,0.11816947156261146,2000,"[1.4938031721115113, 1.7287344483534495, 1.5889631246195899]"
