method,domain,training_seed,environment_seed,episode_id,windows,endpoint_force_mae_N,endpoint_force_mae_N_h1,endpoint_force_mae_N_h2,endpoint_force_mae_N_h3,endpoint_force_mae_N_h4,endpoint_force_mae_N_h5,interval_peak_mae_N,interval_peak_mae_N_h1,interval_peak_mae_N_h2,interval_peak_mae_N_h3,interval_peak_mae_N_h4,interval_peak_mae_N_h5,height_mae_m,height_mae_m_h1,height_mae_m_h2,height_mae_m_h3,height_mae_m_h4,height_mae_m_h5,contact_phase_endpoint_force_mae_N,contact_forecast_fraction,peak_episode_coverage,height_episode_coverage,joint_episode_coverage,contact_force_error_sum,contact_force_component_count
vision_world_model,test_id,0,20350000,id_000,30,1.2495354559334615,1.062214510111759,1.107230807054374,1.2497169504149093,1.3675673796277907,1.460947632458475,3.7387520146369932,3.214042349656423,3.313536286354065,3.7290950616200766,4.0793767213821415,4.357709654172262,0.0026327519596088676,0.002410059542550395,0.002469620269645626,0.0025909565136923145,0.0027000459396125127,0.0029930775325434904,1.8706576182924035,0.66,1.0,1.0,1.0,1111.1706252656877,594
vision_world_model,test_id,0,20350001,id_001,30,0.042625206580592524,0.050024850273297894,0.04264630081339015,0.040586274820897314,0.03970637847152021,0.04016222852385706,0.12082590579986573,0.10535836219787598,0.11845691998799641,0.12060057322184245,0.12638719081878663,0.13332648277282716,0.0014347447423885267,0.001988880600159367,0.0014889984430434802,0.0012976771065344413,0.001222353735162566,0.0011758138270427784,,0.0,1.0,1.0,1.0,0.0,0
vision_world_model,test_id,0,20350002,id_002,30,1.2286280075005358,1.1642687882607181,1.203404465214246,1.2206960699417524,1.2524838656600978,1.3022868484258652,2.973062348365784,2.8574399948120117,2.899122786521912,2.9277256965637206,3.043898510932922,3.137124752998352,0.00478995779917265,0.0033029120105008284,0.003897074881630639,0.004750289244111627,0.0055904163125281535,0.006409096547092001,1.8744702914864133,0.6466666666666666,1.0,1.0,1.0,1090.9417096450925,582
vision_world_model,test_id,0,20350003,id_003,30,0.040011168027089705,0.05081833203633626,0.042338453543682895,0.03765102451046308,0.03498569263352288,0.03426233741144339,0.12396955966949463,0.12132701873779297,0.12277304331461589,0.12267796993255616,0.12503335475921631,0.12803641160329182,0.0006587096668469409,0.0010386563061426082,0.0006477039384966095,0.0005572596215642989,0.0005325482420933743,0.0005173802259378135,,0.0,1.0,1.0,1.0,0.0,0
vision_world_model,test_id,0,20350004,id_004,30,0.5706632340865003,0.4726896277214918,0.5987378379743961,0.5691061763092875,0.5918380331558486,0.6209444952714774,1.549754074414571,1.2794492681821188,1.654043467839559,1.5617847601572672,1.6030691703160604,1.6504237055778503,0.004192624939993644,0.0041612419571417075,0.0038902533822692932,0.004022574686678127,0.004303615854587406,0.004585438819291691,0.9176348008713497,0.6066666666666667,1.0,1.0,1.0,501.02860127575696,546
vision_world_model,test_id,0,20350005,id_005,30,0.039857371279762854,0.04032325146512853,0.04029739329384433,0.039768740141557325,0.03986971957816018,0.03902775192012389,0.11318736076354981,0.10692938168843587,0.10944778124491374,0.1130065679550171,0.11523653666178385,0.12131653626759847,0.0003640711315286656,0.0004988164330522219,0.00032817530057703456,0.00031524795728425187,0.0003426045955469211,0.0003355113711828987,,0.0,1.0,1.0,1.0,0.0,0
vision_world_model,test_id,0,20350006,id_006,30,0.3131450570560992,0.36331904189040265,0.2877852624903123,0.2716995519689388,0.2956810237011976,0.34724040522964467,0.5722092445691427,0.7990002632141113,0.537859054406484,0.4279015938440959,0.4901308099428813,0.6061545014381409,0.008014281528691452,0.00570865540454785,0.007637478950588653,0.008608033853427817,0.008993537444621325,0.009123701990271607,0.47429776010400754,0.6266666666666667,1.0,1.0,1.0,267.50393669866025,564
vision_world_model,test_id,0,20350007,id_007,30,0.03991104462080532,0.03838104330417183,0.04125733383827739,0.04074584899677171,0.03971312584148513,0.039457871123320526,0.13189364910125734,0.14007097085316975,0.1370935837427775,0.12968633969624838,0.12751328945159912,0.12510406176249186,0.0003434534114785492,0.00036098737424860395,0.0003166751315196355,0.00031263343601798017,0.00035175417627518376,0.0003752169393313428,,0.0,1.0,1.0,1.0,0.0,0
vision_world_model,test_id,0,20350008,id_008,30,1.590116736361136,1.4009718888749678,1.4485792041963172,1.590905714304083,1.6989995535670055,1.8111273208633065,4.478989164034526,3.969408981005351,4.1025060971577965,4.485365645090739,4.763949513435364,5.073715583483378,0.0032247403525980187,0.0032302416084955135,0.00282070115111613,0.0031668168861263743,0.003308706656874468,0.0035972354603776087,2.410117481049581,0.6533333333333333,1.0,1.0,1.0,1417.1490788571537,588
vision_world_model,test_id,0,20350009,id_009,30,0.9200723173386521,0.846994248425795,0.8749817898910907,0.9419822782691982,0.9528722562102808,0.9835310138968958,2.436710817813873,2.3259910980860394,2.3236144264539083,2.4983543793360394,2.4930978576342264,2.5424963275591534,0.008186722388491035,0.005059421187615954,0.007033849511450778,0.008514568176663791,0.009682187044139331,0.01064358602258532,1.4464255039983078,0.6266666666666667,1.0,1.0,1.0,815.7839842550457,564
