method,domain,training_seed,metric,estimate,ci_low,ci_high,environment_episodes,fixed_model_seeds,training_seed_sd,valid_bootstrap_resamples,per_model_estimates
vision_world_model,test_combined_ood,0,contact_forecast_fraction,0.3397777777777778,0.23154999999999998,0.44889444444444443,30,1,,2000,[0.3397777777777778]
vision_world_model,test_combined_ood,1,contact_forecast_fraction,0.3397777777777778,0.23154999999999998,0.44889444444444443,30,1,,2000,[0.3397777777777778]
vision_world_model,test_combined_ood,2,contact_forecast_fraction,0.3397777777777778,0.23154999999999998,0.44889444444444443,30,1,,2000,[0.3397777777777778]
vision_world_model,test_combined_ood,0,contact_phase_endpoint_force_mae_N,2.1411506416492228,1.694535864657835,2.5686759128616727,30,1,,2000,[2.1411506416492228]
vision_world_model,test_combined_ood,1,contact_phase_endpoint_force_mae_N,2.188927551414631,1.7059073753394787,2.696424368035729,30,1,,2000,[2.188927551414631]
vision_world_model,test_combined_ood,2,contact_phase_endpoint_force_mae_N,2.134480584531284,1.6782274552783203,2.5989342033859324,30,1,,2000,[2.134480584531284]
vision_world_model,test_combined_ood,0,endpoint_force_mae_N,0.759372654165331,0.48343365451803355,1.0440274408493782,30,1,,2000,[0.759372654165331]
vision_world_model,test_combined_ood,1,endpoint_force_mae_N,0.7923412941428315,0.5131337816688801,1.0901928437036261,30,1,,2000,[0.7923412941428315]
vision_world_model,test_combined_ood,2,endpoint_force_mae_N,0.7642679953716902,0.49356673213400426,1.0523960910806025,30,1,,2000,[0.7642679953716902]
vision_world_model,test_combined_ood,0,endpoint_force_mae_N_h1,0.7192617466563739,0.4667400853779292,0.9803344275074023,30,1,,2000,[0.7192617466563739]
vision_world_model,test_combined_ood,1,endpoint_force_mae_N_h1,0.7661447383280567,0.49226978139900945,1.060840005580068,30,1,,2000,[0.7661447383280567]
vision_world_model,test_combined_ood,2,endpoint_force_mae_N_h1,0.7414776748760293,0.47078277532773577,1.0333461207801613,30,1,,2000,[0.7414776748760293]
vision_world_model,test_combined_ood,0,endpoint_force_mae_N_h2,0.736977441335028,0.4764166269892378,1.0088349522810633,30,1,,2000,[0.736977441335028]
vision_world_model,test_combined_ood,1,endpoint_force_mae_N_h2,0.7789532147313434,0.5012385397173068,1.0760874203647728,30,1,,2000,[0.7789532147313434]
vision_world_model,test_combined_ood,2,endpoint_force_mae_N_h2,0.7514933720838141,0.4832955835792926,1.0348477745492493,30,1,,2000,[0.7514933720838141]
vision_world_model,test_combined_ood,0,endpoint_force_mae_N_h3,0.7623968213041209,0.48436103593733987,1.0465396334928527,30,1,,2000,[0.7623968213041209]
vision_world_model,test_combined_ood,1,endpoint_force_mae_N_h3,0.7946944908247571,0.5107507516783274,1.101362230428697,30,1,,2000,[0.7946944908247571]
vision_world_model,test_combined_ood,2,endpoint_force_mae_N_h3,0.7597325719051339,0.4905733067820159,1.049959031492299,30,1,,2000,[0.7597325719051339]
vision_world_model,test_combined_ood,0,endpoint_force_mae_N_h4,0.778294706615033,0.4891355105319353,1.0738999875192357,30,1,,2000,[0.778294706615033]
vision_world_model,test_combined_ood,1,endpoint_force_mae_N_h4,0.8067588521766097,0.5212834444377243,1.1155015468522302,30,1,,2000,[0.8067588521766097]
vision_world_model,test_combined_ood,2,endpoint_force_mae_N_h4,0.7796478638777302,0.5069898694011434,1.0753998074823543,30,1,,2000,[0.7796478638777302]
vision_world_model,test_combined_ood,0,endpoint_force_mae_N_h5,0.7999325549160993,0.49950534970920396,1.1057426622340765,30,1,,2000,[0.7999325549160993]
vision_world_model,test_combined_ood,1,endpoint_force_mae_N_h5,0.8151551746533907,0.5268516487574757,1.1269981775604772,30,1,,2000,[0.8151551746533907]
vision_world_model,test_combined_ood,2,endpoint_force_mae_N_h5,0.7889884941157437,0.5095489018535267,1.0854378175484143,30,1,,2000,[0.7889884941157437]
vision_world_model,test_combined_ood,0,height_episode_coverage,0.8666666666666667,0.7333333333333333,0.9666666666666667,30,1,,2000,[0.8666666666666667]
