comparison,domain,metric,estimate,ci_low,ci_high,environment_episodes,fixed_model_seeds,training_seed_sd,valid_bootstrap_resamples,per_model_estimates
visuotactile_world_model minus vision_world_model,test_id,contact_forecast_fraction,0.0,0.0,0.0,30,3,0.0,2000,"[0.0, 0.0, 0.0]"
visuotactile_world_model minus vision_world_model,test_id,contact_phase_endpoint_force_mae_N,-1.5752951200416003,-1.9688413501199193,-1.2308295169072652,30,3,0.036172593336131396,2000,"[-1.6048187559659226, -1.5861208517866145, -1.5349457523722634]"
visuotactile_world_model minus vision_world_model,test_id,endpoint_force_mae_N,-0.7505349340985276,-0.9998657284226796,-0.5256260449632947,30,3,0.01505429609811303,2000,"[-0.7571279667123497, -0.7611679106655324, -0.7333089249177008]"
visuotactile_world_model minus vision_world_model,test_id,endpoint_force_mae_N_h1,-0.7813521277728595,-1.041944648954952,-0.5458195174226187,30,3,0.019911770546310926,2000,"[-0.7811377081212898, -0.8013702422603792, -0.7615484329369092]"
visuotactile_world_model minus vision_world_model,test_id,endpoint_force_mae_N_h2,-0.7587410538817503,-1.0096468949654702,-0.5287195051634617,30,3,0.016240429343511817,2000,"[-0.761282369081638, -0.7735610094787208, -0.741379783084892]"
visuotactile_world_model minus vision_world_model,test_id,endpoint_force_mae_N_h3,-0.749818016354693,-0.9994214661793388,-0.5251174089943683,30,3,0.013413713564721711,2000,"[-0.7589827103942149, -0.7560492718321513, -0.734422066837713]"
visuotactile_world_model minus vision_world_model,test_id,endpoint_force_mae_N_h4,-0.7430084932471747,-0.9939693645295059,-0.5189675261405494,30,3,0.013199225772630744,2000,"[-0.7523520607799636, -0.748764694440351, -0.7279087245212091]"
visuotactile_world_model minus vision_world_model,test_id,endpoint_force_mae_N_h5,-0.7197549792361606,-0.9707295869340478,-0.5025139496319319,30,3,0.016254873323918992,2000,"[-0.7318849851846418, -0.7260943353160595, -0.7012856172077806]"
visuotactile_world_model minus vision_world_model,test_id,height_episode_coverage,-0.044444444444444446,-0.12222222222222223,0.0,30,3,0.019245008972987525,2000,"[-0.06666666666666667, -0.03333333333333333, -0.03333333333333333]"
visuotactile_world_model minus vision_world_model,test_id,height_mae_m,-0.0011118547431165267,-0.001500672916830229,-0.0006916129981152932,30,3,0.0012171089349257219,2000,"[-0.0024959001223647244, -0.0002084841161655883, -0.0006311799908192673]"
