phase,step,loss,value_loss
bc,0,0.08183857798576355,0.0
bc,100,0.014750709757208824,0.0
bc,200,0.019159570336341858,0.0
bc,300,0.017272798344492912,0.0
bc,400,0.009979350492358208,0.0
bc,500,0.012788156047463417,0.0
bc,600,0.011047812178730965,0.0
bc,700,0.009323574602603912,0.0
bc,800,0.013207519426941872,0.0
bc,900,0.011992402374744415,0.0
imagination_rl,0,-0.7993080019950867,4.938440799713135
imagination_rl,100,-1.5455585718154907,1.2736965417861938
imagination_rl,200,-2.31046199798584,0.9300594329833984
imagination_rl,300,-3.0593652725219727,0.8770214319229126
imagination_rl,400,-3.723719358444214,1.251347541809082
imagination_rl,500,-4.507363319396973,2.002659320831299
imagination_rl,600,-5.007509708404541,1.2179099321365356
imagination_rl,700,-5.230856895446777,1.7599544525146484
imagination_rl,800,-5.884335041046143,1.9978172779083252
imagination_rl,900,-6.968760967254639,1.8094619512557983
imagination_rl,1000,-7.171884059906006,1.598832130432129
imagination_rl,1100,-8.154559135437012,1.7961246967315674
imagination_rl,1200,-8.675447463989258,2.017655611038208
imagination_rl,1300,-8.316807746887207,2.767833709716797
imagination_rl,1400,-8.480501174926758,1.8295120000839233
