contrast,first,second,domain,metric,estimate_difference,ci_low,ci_high,unit,percentage_point_difference,percentage_point_ci_low,percentage_point_ci_high,n_environments,ci_method
stress:WM_visuotactile - clean:WM_visuotactile,stress:WM_visuotactile,clean:WM_visuotactile,id,strict_lift,0.0,0.0,0.0,proportion_difference,0.0,0.0,0.0,30,paired_environment_percentile_bootstrap_95pct
stress:WM_visuotactile - clean:WM_visuotactile,stress:WM_visuotactile,clean:WM_visuotactile,id,joint_success,-0.011111111111111127,-0.033333333333333354,0.0,proportion_difference,-1.1111111111111127,-3.3333333333333353,0.0,30,paired_environment_percentile_bootstrap_95pct
stress:WM_visuotactile - clean:WM_visuotactile,stress:WM_visuotactile,clean:WM_visuotactile,id,force_violation,0.011111111111111183,0.0,0.033333333333333326,proportion_difference,1.1111111111111183,0.0,3.3333333333333326,30,paired_environment_percentile_bootstrap_95pct
stress:WM_visuotactile - clean:WM_visuotactile,stress:WM_visuotactile,clean:WM_visuotactile,id,peak_N,0.03896847433514239,-0.032893410755529075,0.1331998002529132,native_metric_difference,,,,30,paired_environment_percentile_bootstrap_95pct
stress:WM_visuotactile - clean:WM_visuotactile,stress:WM_visuotactile,clean:WM_visuotactile,id,max_height_m,0.00010816686068816639,-0.0002756923734058385,0.0005206366490892884,native_metric_difference,,,,30,paired_environment_percentile_bootstrap_95pct
stress:WM_visuotactile - clean:WM_visuotactile,stress:WM_visuotactile,clean:WM_visuotactile,id,setup_peak_N,0.0,0.0,0.0,native_metric_difference,,,,30,paired_environment_percentile_bootstrap_95pct
stress:WM_visuotactile - clean:WM_visuotactile,stress:WM_visuotactile,clean:WM_visuotactile,id,strict_longest,0.0,-0.08888888888888857,0.07777777777777573,native_metric_difference,,,,30,paired_environment_percentile_bootstrap_95pct
stress:IQL_visuotactile - clean:IQL_visuotactile,stress:IQL_visuotactile,clean:IQL_visuotactile,id,strict_lift,0.0,-0.04444444444444451,0.04444444444444451,proportion_difference,0.0,-4.444444444444451,4.444444444444451,30,paired_environment_percentile_bootstrap_95pct
stress:IQL_visuotactile - clean:IQL_visuotactile,stress:IQL_visuotactile,clean:IQL_visuotactile,id,joint_success,0.011111111111111127,-0.022222222222222254,0.055555555555555525,proportion_difference,1.1111111111111127,-2.2222222222222254,5.555555555555553,30,paired_environment_percentile_bootstrap_95pct
stress:IQL_visuotactile - clean:IQL_visuotactile,stress:IQL_visuotactile,clean:IQL_visuotactile,id,force_violation,-0.011111111111111072,-0.033333333333333326,0.0,proportion_difference,-1.1111111111111072,-3.3333333333333326,0.0,30,paired_environment_percentile_bootstrap_95pct
stress:IQL_visuotactile - clean:IQL_visuotactile,stress:IQL_visuotactile,clean:IQL_visuotactile,id,peak_N,0.04194135665893661,-0.012532976865769551,0.11098748213714928,native_metric_difference,,,,30,paired_environment_percentile_bootstrap_95pct
stress:IQL_visuotactile - clean:IQL_visuotactile,stress:IQL_visuotactile,clean:IQL_visuotactile,id,max_height_m,-0.0006042129877540936,-0.004713739158792654,0.003985094046220166,native_metric_difference,,,,30,paired_environment_percentile_bootstrap_95pct
stress:IQL_visuotactile - clean:IQL_visuotactile,stress:IQL_visuotactile,clean:IQL_visuotactile,id,setup_peak_N,0.0,0.0,0.0,native_metric_difference,,,,30,paired_environment_percentile_bootstrap_95pct
stress:IQL_visuotactile - clean:IQL_visuotactile,stress:IQL_visuotactile,clean:IQL_visuotactile,id,strict_longest,-1.0666666666666664,-2.5444444444444443,0.2777777777777787,native_metric_difference,,,,30,paired_environment_percentile_bootstrap_95pct
stress:model_guard - clean:model_guard,stress:model_guard,clean:model_guard,id,strict_lift,0.0,0.0,0.0,proportion_difference,0.0,0.0,0.0,30,paired_environment_percentile_bootstrap_95pct
stress:model_guard - clean:model_guard,stress:model_guard,clean:model_guard,id,joint_success,0.0,0.0,0.0,proportion_difference,0.0,0.0,0.0,30,paired_environment_percentile_bootstrap_95pct
stress:model_guard - clean:model_guard,stress:model_guard,clean:model_guard,id,force_violation,0.0,0.0,0.0,proportion_difference,0.0,0.0,0.0,30,paired_environment_percentile_bootstrap_95pct
stress:model_guard - clean:model_guard,stress:model_guard,clean:model_guard,id,peak_N,-0.004029210408528883,-0.017272657950720038,0.006379358371098618,native_metric_difference,,,,30,paired_environment_percentile_bootstrap_95pct
stress:model_guard - clean:model_guard,stress:model_guard,clean:model_guard,id,max_height_m,1.1238786909451015e-06,-2.669791388659747e-09,3.044990201772623e-06,native_metric_difference,,,,30,paired_environment_percentile_bootstrap_95pct
stress:model_guard - clean:model_guard,stress:model_guard,clean:model_guard,id,setup_peak_N,0.0,0.0,0.0,native_metric_difference,,,,30,paired_environment_percentile_bootstrap_95pct
stress:model_guard - clean:model_guard,stress:model_guard,clean:model_guard,id,strict_longest,0.0,0.0,0.0,native_metric_difference,,,,30,paired_environment_percentile_bootstrap_95pct
stress:force_feedback - clean:force_feedback,stress:force_feedback,clean:force_feedback,id,strict_lift,0.0,0.0,0.0,proportion_difference,0.0,0.0,0.0,30,paired_environment_percentile_bootstrap_95pct
stress:force_feedback - clean:force_feedback,stress:force_feedback,clean:force_feedback,id,joint_success,0.0,0.0,0.0,proportion_difference,0.0,0.0,0.0,30,paired_environment_percentile_bootstrap_95pct
stress:force_feedback - clean:force_feedback,stress:force_feedback,clean:force_feedback,id,force_violation,0.0,0.0,0.0,proportion_difference,0.0,0.0,0.0,30,paired_environment_percentile_bootstrap_95pct
stress:force_feedback - clean:force_feedback,stress:force_feedback,clean:force_feedback,id,peak_N,0.05120890935261979,0.005263655980427774,0.10759490450223247,native_metric_difference,,,,30,paired_environment_percentile_bootstrap_95pct
stress:force_feedback - clean:force_feedback,stress:force_feedback,clean:force_feedback,id,max_height_m,-4.619359969537662e-08,-1.0655572017584381e-07,2.558653553474951e-08,native_metric_difference,,,,30,paired_environment_percentile_bootstrap_95pct
stress:force_feedback - clean:force_feedback,stress:force_feedback,clean:force_feedback,id,setup_peak_N,0.0,0.0,0.0,native_metric_difference,,,,30,paired_environment_percentile_bootstrap_95pct
stress:force_feedback - clean:force_feedback,stress:force_feedback,clean:force_feedback,id,strict_longest,0.0,0.0,0.0,native_metric_difference,,,,30,paired_environment_percentile_bootstrap_95pct
stress:reactive_guard - clean:reactive_guard,stress:reactive_guard,clean:reactive_guard,id,strict_lift,0.0,0.0,0.0,proportion_difference,0.0,0.0,0.0,30,paired_environment_percentile_bootstrap_95pct
stress:reactive_guard - clean:reactive_guard,stress:reactive_guard,clean:reactive_guard,id,joint_success,0.0,0.0,0.0,proportion_difference,0.0,0.0,0.0,30,paired_environment_percentile_bootstrap_95pct
stress:reactive_guard - clean:reactive_guard,stress:reactive_guard,clean:reactive_guard,id,force_violation,0.0,0.0,0.0,proportion_difference,0.0,0.0,0.0,30,paired_environment_percentile_bootstrap_95pct
stress:reactive_guard - clean:reactive_guard,stress:reactive_guard,clean:reactive_guard,id,peak_N,0.0059170246124269354,-0.002495508988698725,0.01423315723737115,native_metric_difference,,,,30,paired_environment_percentile_bootstrap_95pct
stress:reactive_guard - clean:reactive_guard,stress:reactive_guard,clean:reactive_guard,id,max_height_m,-9.189049404723093e-08,-1.768395304746484e-07,-2.482285103994071e-08,native_metric_difference,,,,30,paired_environment_percentile_bootstrap_95pct
stress:reactive_guard - clean:reactive_guard,stress:reactive_guard,clean:reactive_guard,id,setup_peak_N,0.0,0.0,0.0,native_metric_difference,,,,30,paired_environment_percentile_bootstrap_95pct
stress:reactive_guard - clean:reactive_guard,stress:reactive_guard,clean:reactive_guard,id,strict_longest,0.0,0.0,0.0,native_metric_difference,,,,30,paired_environment_percentile_bootstrap_95pct
