group,domain,metric,metric_type,estimate,ci_low,ci_high,n_environments,n_policies,ci_method
clean:WM_visuotactile,id,strict_lift,rate,0.8333333333333334,0.7666666666666667,0.9,30,3,paired_environment_percentile_bootstrap_95pct
clean:WM_visuotactile,id,joint_success,rate,0.2777777777777778,0.14444444444444443,0.41111111111111115,30,3,paired_environment_percentile_bootstrap_95pct
clean:WM_visuotactile,id,force_violation,rate,0.5777777777777777,0.43333333333333335,0.7113888888888873,30,3,paired_environment_percentile_bootstrap_95pct
clean:WM_visuotactile,id,peak_N,mean,8.095116627216338,7.236226275281774,8.950472759985262,30,3,paired_environment_percentile_bootstrap_95pct
clean:WM_visuotactile,id,max_height_m,mean,0.10793972859715319,0.0993803934442662,0.11594692252424363,30,3,paired_environment_percentile_bootstrap_95pct
clean:WM_visuotactile,id,setup_peak_N,mean,0.0,0.0,0.0,30,3,paired_environment_percentile_bootstrap_95pct
clean:WM_visuotactile,id,strict_longest,mean,51.27777777777778,46.83305555555556,55.41166666666666,30,3,paired_environment_percentile_bootstrap_95pct
stress:WM_visuotactile,id,strict_lift,rate,0.8333333333333334,0.7666666666666667,0.9,30,3,paired_environment_percentile_bootstrap_95pct
stress:WM_visuotactile,id,joint_success,rate,0.26666666666666666,0.13333333333333333,0.4111111111111111,30,3,paired_environment_percentile_bootstrap_95pct
stress:WM_visuotactile,id,force_violation,rate,0.5888888888888889,0.4444444444444444,0.7224999999999985,30,3,paired_environment_percentile_bootstrap_95pct
stress:WM_visuotactile,id,peak_N,mean,8.13408510155148,7.282367614408334,8.995297630081573,30,3,paired_environment_percentile_bootstrap_95pct
stress:WM_visuotactile,id,max_height_m,mean,0.10804789545784135,0.09941606925072849,0.11588535410231594,30,3,paired_environment_percentile_bootstrap_95pct
stress:WM_visuotactile,id,setup_peak_N,mean,0.0,0.0,0.0,30,3,paired_environment_percentile_bootstrap_95pct
stress:WM_visuotactile,id,strict_longest,mean,51.27777777777778,46.86611111111111,55.38999999999999,30,3,paired_environment_percentile_bootstrap_95pct
clean:IQL_visuotactile,id,strict_lift,rate,0.8222222222222223,0.7333333333333333,0.9111111111111111,30,3,paired_environment_percentile_bootstrap_95pct
clean:IQL_visuotactile,id,joint_success,rate,0.3555555555555555,0.23333333333333334,0.4888888888888889,30,3,paired_environment_percentile_bootstrap_95pct
clean:IQL_visuotactile,id,force_violation,rate,0.5666666666666667,0.4111111111111111,0.711111111111111,30,3,paired_environment_percentile_bootstrap_95pct
clean:IQL_visuotactile,id,peak_N,mean,11.047757577896117,9.32030062072807,12.809137773712475,30,3,paired_environment_percentile_bootstrap_95pct
clean:IQL_visuotactile,id,max_height_m,mean,0.14447409220867688,0.13631252354010942,0.1522514996015363,30,3,paired_environment_percentile_bootstrap_95pct
clean:IQL_visuotactile,id,setup_peak_N,mean,0.0,0.0,0.0,30,3,paired_environment_percentile_bootstrap_95pct
clean:IQL_visuotactile,id,strict_longest,mean,29.522222222222222,25.855555555555554,33.05555555555556,30,3,paired_environment_percentile_bootstrap_95pct
stress:IQL_visuotactile,id,strict_lift,rate,0.8222222222222223,0.7219444444444445,0.9222222222222223,30,3,paired_environment_percentile_bootstrap_95pct
stress:IQL_visuotactile,id,joint_success,rate,0.36666666666666664,0.24444444444444444,0.5111111111111111,30,3,paired_environment_percentile_bootstrap_95pct
stress:IQL_visuotactile,id,force_violation,rate,0.5555555555555556,0.4,0.7,30,3,paired_environment_percentile_bootstrap_95pct
stress:IQL_visuotactile,id,peak_N,mean,11.089698934555054,9.341063819660082,12.872260201705828,30,3,paired_environment_percentile_bootstrap_95pct
stress:IQL_visuotactile,id,max_height_m,mean,0.1438698792209228,0.13427345314270092,0.15284935027567878,30,3,paired_environment_percentile_bootstrap_95pct
stress:IQL_visuotactile,id,setup_peak_N,mean,0.0,0.0,0.0,30,3,paired_environment_percentile_bootstrap_95pct
