group,metric,n_policies,mean_change,sample_sd,minimum,maximum
WM_visuotactile,strict_lift,3,0.0,0.0,0.0,0.0
WM_visuotactile,joint_success,3,-0.011111111111111112,0.019245008972987525,-0.03333333333333333,0.0
WM_visuotactile,force_violation,3,0.011111111111111112,0.019245008972987525,0.0,0.03333333333333333
WM_visuotactile,peak_N,3,0.03896847433514065,0.0482344354364093,0.0030728975931803384,0.09379703601201375
WM_visuotactile,max_height_m,3,0.00010816686068816732,0.00036483637422321866,-0.00020125756661097208,0.0005104633484734223
WM_visuotactile,setup_peak_N,3,0.0,0.0,0.0,0.0
WM_visuotactile,strict_longest,3,0.0,0.03333333333333333,-0.03333333333333333,0.03333333333333333
IQL_visuotactile,strict_lift,3,0.0,0.057735026918962574,-0.06666666666666667,0.03333333333333333
IQL_visuotactile,joint_success,3,0.011111111111111112,0.03849001794597505,-0.03333333333333333,0.03333333333333333
IQL_visuotactile,force_violation,3,-0.011111111111111112,0.019245008972987525,-0.03333333333333333,0.0
IQL_visuotactile,peak_N,3,0.04194135665893555,0.019439489804530818,0.02050293286641439,0.05842157999674479
IQL_visuotactile,max_height_m,3,-0.00060421298775408,0.005587760238128786,-0.006900787353515625,0.0037638807048400243
IQL_visuotactile,setup_peak_N,3,0.0,0.0,0.0,0.0
IQL_visuotactile,strict_longest,3,-1.0666666666666667,1.5059142664102023,-2.7,0.26666666666666666
model_guard,strict_lift,3,0.0,0.0,0.0,0.0
model_guard,joint_success,3,0.0,0.0,0.0,0.0
model_guard,force_violation,3,0.0,0.0,0.0,0.0
model_guard,peak_N,3,-0.004029210408528646,0.011908080451906704,-0.017536401748657227,0.004953559239705404
model_guard,max_height_m,3,1.1238786909315323e-06,2.3287879437125064e-06,-1.564621925354004e-06,2.5153160095214845e-06
model_guard,setup_peak_N,3,0.0,0.0,0.0,0.0
model_guard,strict_longest,3,0.0,0.0,0.0,0.0
force_feedback,strict_lift,1,0.0,,0.0,0.0
force_feedback,joint_success,1,0.0,,0.0,0.0
force_feedback,force_violation,1,0.0,,0.0,0.0
force_feedback,peak_N,1,0.051208909352620444,,0.051208909352620444,0.051208909352620444
force_feedback,max_height_m,1,-4.6193599700927736e-08,,-4.6193599700927736e-08,-4.6193599700927736e-08
force_feedback,setup_peak_N,1,0.0,,0.0,0.0
force_feedback,strict_longest,1,0.0,,0.0,0.0
reactive_guard,strict_lift,1,0.0,,0.0,0.0
reactive_guard,joint_success,1,0.0,,0.0,0.0
reactive_guard,force_violation,1,0.0,,0.0,0.0
reactive_guard,peak_N,1,0.005917024612426758,,0.005917024612426758,0.005917024612426758
reactive_guard,max_height_m,1,-9.189049402872722e-08,,-9.189049402872722e-08,-9.189049402872722e-08
reactive_guard,setup_peak_N,1,0.0,,0.0,0.0
reactive_guard,strict_longest,1,0.0,,0.0,0.0
