group,method,training_seed,domain,metric,estimate,n_environments
clean:WM_visuotactile,clean/WM_visuotactile_seed0,0,id,strict_lift,1.0,30
clean:WM_visuotactile,clean/WM_visuotactile_seed1,1,id,strict_lift,0.9666666666666667,30
clean:WM_visuotactile,clean/WM_visuotactile_seed2,2,id,strict_lift,0.5333333333333333,30
clean:WM_visuotactile,clean/WM_visuotactile_seed0,0,id,joint_success,0.3333333333333333,30
clean:WM_visuotactile,clean/WM_visuotactile_seed1,1,id,joint_success,0.3,30
clean:WM_visuotactile,clean/WM_visuotactile_seed2,2,id,joint_success,0.2,30
clean:WM_visuotactile,clean/WM_visuotactile_seed0,0,id,force_violation,0.6666666666666666,30
clean:WM_visuotactile,clean/WM_visuotactile_seed1,1,id,force_violation,0.6666666666666666,30
clean:WM_visuotactile,clean/WM_visuotactile_seed2,2,id,force_violation,0.4,30
clean:WM_visuotactile,clean/WM_visuotactile_seed0,0,id,peak_N,9.237499348322551,30
clean:WM_visuotactile,clean/WM_visuotactile_seed1,1,id,peak_N,9.17110538482666,30
clean:WM_visuotactile,clean/WM_visuotactile_seed2,2,id,peak_N,5.876745148499807,30
clean:WM_visuotactile,clean/WM_visuotactile_seed0,0,id,max_height_m,0.13035532211263975,30
clean:WM_visuotactile,clean/WM_visuotactile_seed1,1,id,max_height_m,0.11778698315223059,30
clean:WM_visuotactile,clean/WM_visuotactile_seed2,2,id,max_height_m,0.07567688052658923,30
clean:WM_visuotactile,clean/WM_visuotactile_seed0,0,id,setup_peak_N,0.0,30
clean:WM_visuotactile,clean/WM_visuotactile_seed1,1,id,setup_peak_N,0.0,30
clean:WM_visuotactile,clean/WM_visuotactile_seed2,2,id,setup_peak_N,0.0,30
clean:WM_visuotactile,clean/WM_visuotactile_seed0,0,id,strict_longest,64.96666666666667,30
clean:WM_visuotactile,clean/WM_visuotactile_seed1,1,id,strict_longest,56.0,30
clean:WM_visuotactile,clean/WM_visuotactile_seed2,2,id,strict_longest,32.86666666666667,30
stress:WM_visuotactile,stress/WM_visuotactile_seed0,0,id,strict_lift,1.0,30
stress:WM_visuotactile,stress/WM_visuotactile_seed1,1,id,strict_lift,0.9666666666666667,30
stress:WM_visuotactile,stress/WM_visuotactile_seed2,2,id,strict_lift,0.5333333333333333,30
stress:WM_visuotactile,stress/WM_visuotactile_seed0,0,id,joint_success,0.3333333333333333,30
stress:WM_visuotactile,stress/WM_visuotactile_seed1,1,id,joint_success,0.3,30
stress:WM_visuotactile,stress/WM_visuotactile_seed2,2,id,joint_success,0.16666666666666666,30
stress:WM_visuotactile,stress/WM_visuotactile_seed0,0,id,force_violation,0.6666666666666666,30
stress:WM_visuotactile,stress/WM_visuotactile_seed1,1,id,force_violation,0.6666666666666666,30
stress:WM_visuotactile,stress/WM_visuotactile_seed2,2,id,force_violation,0.43333333333333335,30
stress:WM_visuotactile,stress/WM_visuotactile_seed0,0,id,peak_N,9.24057224591573,30
stress:WM_visuotactile,stress/WM_visuotactile_seed1,1,id,peak_N,9.191140874226887,30
stress:WM_visuotactile,stress/WM_visuotactile_seed2,2,id,peak_N,5.97054218451182,30
stress:WM_visuotactile,stress/WM_visuotactile_seed0,0,id,max_height_m,0.13015406454602876,30
stress:WM_visuotactile,stress/WM_visuotactile_seed1,1,id,max_height_m,0.11780227795243263,30
stress:WM_visuotactile,stress/WM_visuotactile_seed2,2,id,max_height_m,0.07618734387506265,30
stress:WM_visuotactile,stress/WM_visuotactile_seed0,0,id,setup_peak_N,0.0,30
stress:WM_visuotactile,stress/WM_visuotactile_seed1,1,id,setup_peak_N,0.0,30
stress:WM_visuotactile,stress/WM_visuotactile_seed2,2,id,setup_peak_N,0.0,30
stress:WM_visuotactile,stress/WM_visuotactile_seed0,0,id,strict_longest,64.96666666666667,30
stress:WM_visuotactile,stress/WM_visuotactile_seed1,1,id,strict_longest,55.96666666666667,30
stress:WM_visuotactile,stress/WM_visuotactile_seed2,2,id,strict_longest,32.9,30
clean:IQL_visuotactile,clean/IQL_visuotactile_seed0,0,id,strict_lift,0.8,30
clean:IQL_visuotactile,clean/IQL_visuotactile_seed1,1,id,strict_lift,0.8666666666666667,30
clean:IQL_visuotactile,clean/IQL_visuotactile_seed2,2,id,strict_lift,0.8,30
clean:IQL_visuotactile,clean/IQL_visuotactile_seed0,0,id,joint_success,0.3333333333333333,30
clean:IQL_visuotactile,clean/IQL_visuotactile_seed1,1,id,joint_success,0.5,30
clean:IQL_visuotactile,clean/IQL_visuotactile_seed2,2,id,joint_success,0.23333333333333334,30
