method,domain,metric,estimate,ci_low,ci_high,policy_runs,environment_episodes,training_seed_sd,per_policy_counts,per_policy_estimates,run_names,ci_method
force_feedback,all,sustained_10cm_lift_within_force_budget,0.25,0.1,0.4,1,20,,[5.0],[0.25],"[""force_feedback""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
force_feedback,all,sustained_10cm_lift_success,0.4,0.25,0.5,1,20,,[8.0],[0.4],"[""force_feedback""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
force_feedback,all,force_budget_exceeded,0.3,0.1,0.5,1,20,,[6.0],[0.3],"[""force_feedback""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
force_feedback,all,intervention_force_budget_exceeded,0.15,0.0,0.3,1,20,,[3.0],[0.15],"[""force_feedback""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
force_feedback,all,full_episode_peak_normal_N,7.174700844287872,6.289999467134476,8.093284014463425,1,20,,,[7.174700844287872],"[""force_feedback""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
force_feedback,all,native_shaped_return,59.81531889698401,51.13830030660664,65.80608322755214,1,20,,,[59.81531889698401],"[""force_feedback""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
force_feedback,id,sustained_10cm_lift_within_force_budget,0.5,0.2,0.8,1,10,,[5.0],[0.5],"[""force_feedback""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
force_feedback,id,sustained_10cm_lift_success,0.8,0.5,1.0,1,10,,[8.0],[0.8],"[""force_feedback""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
force_feedback,id,force_budget_exceeded,0.4,0.1,0.7,1,10,,[4.0],[0.4],"[""force_feedback""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
force_feedback,id,intervention_force_budget_exceeded,0.1,0.0,0.3,1,10,,[1.0],[0.1],"[""force_feedback""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
force_feedback,id,full_episode_peak_normal_N,7.479395174980164,5.960421923995018,9.157995563745498,1,10,,,[7.479395174980164],"[""force_feedback""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
force_feedback,id,native_shaped_return,83.13714903228608,65.57763718787216,94.97290834611564,1,10,,,[83.13714903228608],"[""force_feedback""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
force_feedback,ood,sustained_10cm_lift_within_force_budget,0.0,0.0,0.0,1,10,,[0.0],[0.0],"[""force_feedback""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
force_feedback,ood,sustained_10cm_lift_success,0.0,0.0,0.0,1,10,,[0.0],[0.0],"[""force_feedback""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
force_feedback,ood,force_budget_exceeded,0.2,0.0,0.5,1,10,,[2.0],[0.2],"[""force_feedback""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
force_feedback,ood,intervention_force_budget_exceeded,0.2,0.0,0.5,1,10,,[2.0],[0.2],"[""force_feedback""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
force_feedback,ood,full_episode_peak_normal_N,6.870006513595581,6.1946866261959075,7.559853259325028,1,10,,,[6.870006513595581],"[""force_feedback""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
force_feedback,ood,native_shaped_return,36.49348876168195,35.74919532002466,37.37833032032826,1,10,,,[36.49348876168195],"[""force_feedback""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
script,all,sustained_10cm_lift_within_force_budget,0.1,0.0,0.25,1,20,,[2.0],[0.1],"[""script""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
script,all,sustained_10cm_lift_success,0.35,0.2,0.5,1,20,,[7.0],[0.35],"[""script""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
script,all,force_budget_exceeded,0.55,0.3,0.75,1,20,,[11.0],[0.55],"[""script""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
