method,baseline,domain,metric,run_minus_baseline,ci_low,ci_high,paired_environments,fixed_policies,baseline_fixed_policies,ci_method
force_feedback,script,all,sustained_10cm_lift_within_force_budget,0.15,0.0,0.3,20,1,1,stratified paired environment bootstrap of fixed-policy averages
force_feedback,script,all,sustained_10cm_lift_success,0.05,0.0,0.15,20,1,1,stratified paired environment bootstrap of fixed-policy averages
force_feedback,script,all,force_budget_exceeded,-0.25,-0.5,0.0012499999999931789,20,1,1,stratified paired environment bootstrap of fixed-policy averages
force_feedback,script,all,intervention_force_budget_exceeded,-0.4,-0.7,-0.1,20,1,1,stratified paired environment bootstrap of fixed-policy averages
force_feedback,script,all,full_episode_peak_normal_N,-3.0939340114593508,-6.700057958364487,0.43455716907977887,20,1,1,stratified paired environment bootstrap of fixed-policy averages
force_feedback,script,all,native_shaped_return,3.1690097967064133,-0.24244680499715926,9.362208965524058,20,1,1,stratified paired environment bootstrap of fixed-policy averages
force_feedback,script,id,sustained_10cm_lift_within_force_budget,0.3,0.0,0.6,10,1,1,stratified paired environment bootstrap of fixed-policy averages
force_feedback,script,id,sustained_10cm_lift_success,0.1,0.0,0.3,10,1,1,stratified paired environment bootstrap of fixed-policy averages
force_feedback,script,id,force_budget_exceeded,-0.1,-0.4,0.2,10,1,1,stratified paired environment bootstrap of fixed-policy averages
force_feedback,script,id,intervention_force_budget_exceeded,-0.4,-0.8,0.0024999999999863578,10,1,1,stratified paired environment bootstrap of fixed-policy averages
force_feedback,script,id,full_episode_peak_normal_N,-2.671997308731079,-7.913077349662781,2.8810048055648747,10,1,1,stratified paired environment bootstrap of fixed-policy averages
force_feedback,script,id,native_shaped_return,6.475739050749269,-0.14100154243249827,18.843307087481403,10,1,1,stratified paired environment bootstrap of fixed-policy averages
force_feedback,script,ood,sustained_10cm_lift_within_force_budget,0.0,0.0,0.0,10,1,1,stratified paired environment bootstrap of fixed-policy averages
force_feedback,script,ood,sustained_10cm_lift_success,0.0,0.0,0.0,10,1,1,stratified paired environment bootstrap of fixed-policy averages
force_feedback,script,ood,force_budget_exceeded,-0.4,-0.8,0.0,10,1,1,stratified paired environment bootstrap of fixed-policy averages
force_feedback,script,ood,intervention_force_budget_exceeded,-0.4,-0.8,0.0,10,1,1,stratified paired environment bootstrap of fixed-policy averages
force_feedback,script,ood,full_episode_peak_normal_N,-3.515870714187622,-7.898374454975128,0.6958620131015708,10,1,1,stratified paired environment bootstrap of fixed-policy averages
force_feedback,script,ood,native_shaped_return,-0.13771945733644203,-0.6680159243341234,0.6269075384835678,10,1,1,stratified paired environment bootstrap of fixed-policy averages
script,force_feedback,all,sustained_10cm_lift_within_force_budget,-0.15,-0.3,0.0,20,1,1,stratified paired environment bootstrap of fixed-policy averages
script,force_feedback,all,sustained_10cm_lift_success,-0.05,-0.15,0.0,20,1,1,stratified paired environment bootstrap of fixed-policy averages
script,force_feedback,all,force_budget_exceeded,0.25,0.0,0.5,20,1,1,stratified paired environment bootstrap of fixed-policy averages
script,force_feedback,all,intervention_force_budget_exceeded,0.4,0.1,0.7,20,1,1,stratified paired environment bootstrap of fixed-policy averages
script,force_feedback,all,full_episode_peak_normal_N,3.0939340114593508,-0.35104954957962037,6.4001401489973055,20,1,1,stratified paired environment bootstrap of fixed-policy averages
script,force_feedback,all,native_shaped_return,-3.1690097967064133,-9.327929505107582,0.2548250385162924,20,1,1,stratified paired environment bootstrap of fixed-policy averages
script,force_feedback,id,sustained_10cm_lift_within_force_budget,-0.3,-0.6,-0.09750000000001365,10,1,1,stratified paired environment bootstrap of fixed-policy averages
script,force_feedback,id,sustained_10cm_lift_success,-0.1,-0.3,0.0,10,1,1,stratified paired environment bootstrap of fixed-policy averages
script,force_feedback,id,force_budget_exceeded,0.1,-0.2,0.4,10,1,1,stratified paired environment bootstrap of fixed-policy averages
script,force_feedback,id,intervention_force_budget_exceeded,0.4,0.0,0.8,10,1,1,stratified paired environment bootstrap of fixed-policy averages
script,force_feedback,id,full_episode_peak_normal_N,2.671997308731079,-2.8394465935230255,7.873722776174545,10,1,1,stratified paired environment bootstrap of fixed-policy averages
script,force_feedback,id,native_shaped_return,-6.475739050749269,-18.82625047744238,0.1937221302201398,10,1,1,stratified paired environment bootstrap of fixed-policy averages
script,force_feedback,ood,sustained_10cm_lift_within_force_budget,0.0,0.0,0.0,10,1,1,stratified paired environment bootstrap of fixed-policy averages
script,force_feedback,ood,sustained_10cm_lift_success,0.0,0.0,0.0,10,1,1,stratified paired environment bootstrap of fixed-policy averages
