method,domain,metric,estimate,ci_low,ci_high,policy_runs,environment_episodes,training_seed_sd,per_policy_counts,per_policy_estimates,run_names,ci_method
force_feedback,all,sustained_10cm_lift_within_force_budget,0.35,0.2,0.5,1,20,,[7.0],[0.35],"[""force_feedback""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
force_feedback,all,sustained_10cm_lift_success,0.5,0.5,0.5,1,20,,[10.0],[0.5],"[""force_feedback""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
force_feedback,all,force_budget_exceeded,0.2,0.05,0.35,1,20,,[4.0],[0.2],"[""force_feedback""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
force_feedback,all,intervention_force_budget_exceeded,0.05,0.0,0.15,1,20,,[1.0],[0.05],"[""force_feedback""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
force_feedback,all,full_episode_peak_normal_N,7.173574674129486,6.339612130224705,7.994395371675491,1,20,,,[7.173574674129486],"[""force_feedback""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
force_feedback,all,native_shaped_return,65.071275409384,64.71274571958858,65.39939566746091,1,20,,,[65.071275409384],"[""force_feedback""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
force_feedback,id,sustained_10cm_lift_within_force_budget,0.7,0.4,0.9,1,10,,[7.0],[0.7],"[""force_feedback""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
force_feedback,id,sustained_10cm_lift_success,1.0,1.0,1.0,1,10,,[10.0],[1.0],"[""force_feedback""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
force_feedback,id,force_budget_exceeded,0.3,0.1,0.6,1,10,,[3.0],[0.3],"[""force_feedback""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
force_feedback,id,intervention_force_budget_exceeded,0.0,0.0,0.0,1,10,,[0.0],[0.0],"[""force_feedback""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
force_feedback,id,full_episode_peak_normal_N,7.311024832725525,5.9158216881752015,8.682778760194774,1,10,,,[7.311024832725525],"[""force_feedback""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
force_feedback,id,native_shaped_return,94.31317730313177,93.9949633556288,94.63422620757171,1,10,,,[94.31317730313177],"[""force_feedback""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
force_feedback,ood,sustained_10cm_lift_within_force_budget,0.0,0.0,0.0,1,10,,[0.0],[0.0],"[""force_feedback""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
force_feedback,ood,sustained_10cm_lift_success,0.0,0.0,0.0,1,10,,[0.0],[0.0],"[""force_feedback""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
force_feedback,ood,force_budget_exceeded,0.1,0.0,0.3,1,10,,[1.0],[0.1],"[""force_feedback""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
force_feedback,ood,intervention_force_budget_exceeded,0.1,0.0,0.3,1,10,,[1.0],[0.1],"[""force_feedback""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
force_feedback,ood,full_episode_peak_normal_N,7.036124515533447,6.268624877929688,7.832245608568192,1,10,,,[7.036124515533447],"[""force_feedback""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
force_feedback,ood,native_shaped_return,35.82937351563622,35.17317061783212,36.42009225676919,1,10,,,[35.82937351563622],"[""force_feedback""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
script,all,sustained_10cm_lift_within_force_budget,0.1,0.0,0.25,1,20,,[2.0],[0.1],"[""script""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
script,all,sustained_10cm_lift_success,0.5,0.5,0.5,1,20,,[10.0],[0.5],"[""script""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
script,all,force_budget_exceeded,0.65,0.45,0.85,1,20,,[13.0],[0.65],"[""script""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
script,all,intervention_force_budget_exceeded,0.65,0.45,0.85,1,20,,[13.0],[0.65],"[""script""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
script,all,full_episode_peak_normal_N,11.341131222248077,8.519235511124133,14.371864609718322,1,20,,,[11.341131222248077],"[""script""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
script,all,native_shaped_return,65.54670448976209,65.00642562655432,66.05086288853897,1,20,,,[65.54670448976209],"[""script""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
script,id,sustained_10cm_lift_within_force_budget,0.2,0.0,0.5,1,10,,[2.0],[0.2],"[""script""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
script,id,sustained_10cm_lift_success,1.0,1.0,1.0,1,10,,[10.0],[1.0],"[""script""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
script,id,force_budget_exceeded,0.8,0.5,1.0,1,10,,[8.0],[0.8],"[""script""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
script,id,intervention_force_budget_exceeded,0.8,0.5,1.0,1,10,,[8.0],[0.8],"[""script""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
script,id,full_episode_peak_normal_N,11.410485672950745,8.484379494190215,14.82601719379425,1,10,,,[11.410485672950745],"[""script""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
script,id,native_shaped_return,94.91714367106098,94.45747492857201,95.34042341339486,1,10,,,[94.91714367106098],"[""script""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
script,ood,sustained_10cm_lift_within_force_budget,0.0,0.0,0.0,1,10,,[0.0],[0.0],"[""script""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
script,ood,sustained_10cm_lift_success,0.0,0.0,0.0,1,10,,[0.0],[0.0],"[""script""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
script,ood,force_budget_exceeded,0.5,0.2,0.8,1,10,,[5.0],[0.5],"[""script""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
script,ood,intervention_force_budget_exceeded,0.5,0.2,0.8,1,10,,[5.0],[0.5],"[""script""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
script,ood,full_episode_peak_normal_N,11.27177677154541,6.566245477199555,16.56702102541923,1,10,,,[11.27177677154541],"[""script""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
script,ood,native_shaped_return,36.176265308463186,35.141816310469295,37.06148634691169,1,10,,,[36.176265308463186],"[""script""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
visuotactile_height_rl,all,sustained_10cm_lift_within_force_budget,0.16666666666666666,0.03333333333333333,0.3,3,20,0.028867513459481298,"[4.0, 3.0, 3.0]","[0.2, 0.15, 0.15]","[""visuotactile_height_seed0_rl"", ""visuotactile_height_seed1_rl"", ""visuotactile_height_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
visuotactile_height_rl,all,sustained_10cm_lift_success,0.4666666666666666,0.41666666666666663,0.5,3,20,0.028867513459481284,"[9.0, 10.0, 9.0]","[0.45, 0.5, 0.45]","[""visuotactile_height_seed0_rl"", ""visuotactile_height_seed1_rl"", ""visuotactile_height_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
visuotactile_height_rl,all,force_budget_exceeded,0.65,0.45,0.8333333333333333,3,20,0.08660254037844381,"[11.0, 14.0, 14.0]","[0.55, 0.7, 0.7]","[""visuotactile_height_seed0_rl"", ""visuotactile_height_seed1_rl"", ""visuotactile_height_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
visuotactile_height_rl,all,intervention_force_budget_exceeded,0.6,0.38333333333333336,0.8,3,20,0.04999999999999999,"[11.0, 13.0, 12.0]","[0.55, 0.65, 0.6]","[""visuotactile_height_seed0_rl"", ""visuotactile_height_seed1_rl"", ""visuotactile_height_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
visuotactile_height_rl,all,full_episode_peak_normal_N,9.959529066085816,8.543765711585682,11.367971254984539,3,20,0.5471951613210767,,"[9.491885459423065, 9.825377178192138, 10.561324560642243]","[""visuotactile_height_seed0_rl"", ""visuotactile_height_seed1_rl"", ""visuotactile_height_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
visuotactile_height_rl,all,native_shaped_return,76.23761939872301,73.5708764102574,78.4220849120999,3,20,3.079571471738851,,"[72.79932542303133, 77.17104292879907, 78.74248984433856]","[""visuotactile_height_seed0_rl"", ""visuotactile_height_seed1_rl"", ""visuotactile_height_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
visuotactile_height_rl,id,sustained_10cm_lift_within_force_budget,0.3333333333333333,0.1,0.6,3,10,0.057735026918962595,"[4.0, 3.0, 3.0]","[0.4, 0.3, 0.3]","[""visuotactile_height_seed0_rl"", ""visuotactile_height_seed1_rl"", ""visuotactile_height_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
visuotactile_height_rl,id,sustained_10cm_lift_success,0.9333333333333332,0.8333333333333333,1.0,3,10,0.05773502691896257,"[9.0, 10.0, 9.0]","[0.9, 1.0, 0.9]","[""visuotactile_height_seed0_rl"", ""visuotactile_height_seed1_rl"", ""visuotactile_height_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
visuotactile_height_rl,id,force_budget_exceeded,0.6,0.3333333333333333,0.8666666666666666,3,10,0.09999999999999998,"[5.0, 7.0, 6.0]","[0.5, 0.7, 0.6]","[""visuotactile_height_seed0_rl"", ""visuotactile_height_seed1_rl"", ""visuotactile_height_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
visuotactile_height_rl,id,intervention_force_budget_exceeded,0.6,0.3333333333333333,0.8666666666666666,3,10,0.09999999999999998,"[5.0, 7.0, 6.0]","[0.5, 0.7, 0.6]","[""visuotactile_height_seed0_rl"", ""visuotactile_height_seed1_rl"", ""visuotactile_height_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
visuotactile_height_rl,id,full_episode_peak_normal_N,9.040578460693359,7.280108721256254,10.700869058767955,3,10,0.6130589366322179,,"[8.356877732276917, 9.223506689071655, 9.541350960731506]","[""visuotactile_height_seed0_rl"", ""visuotactile_height_seed1_rl"", ""visuotactile_height_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
