method,baseline,domain,metric,run_minus_baseline,ci_low,ci_high,paired_environments,fixed_policies,baseline_fixed_policies,ci_method
force_feedback,script,all,sustained_10cm_lift_within_force_budget,0.25,0.1,0.4,20,1,1,stratified paired environment bootstrap of fixed-policy averages
force_feedback,script,all,sustained_10cm_lift_success,0.0,0.0,0.0,20,1,1,stratified paired environment bootstrap of fixed-policy averages
force_feedback,script,all,force_budget_exceeded,-0.45,-0.65,-0.25,20,1,1,stratified paired environment bootstrap of fixed-policy averages
force_feedback,script,all,intervention_force_budget_exceeded,-0.6,-0.8,-0.4,20,1,1,stratified paired environment bootstrap of fixed-policy averages
force_feedback,script,all,full_episode_peak_normal_N,-4.167556548118592,-6.584099451899529,-1.8552999806404142,20,1,1,stratified paired environment bootstrap of fixed-policy averages
force_feedback,script,all,native_shaped_return,-0.47542908037808723,-0.8530882361998249,-0.03302002162175731,20,1,1,stratified paired environment bootstrap of fixed-policy averages
force_feedback,script,id,sustained_10cm_lift_within_force_budget,0.5,0.2,0.8,10,1,1,stratified paired environment bootstrap of fixed-policy averages
force_feedback,script,id,sustained_10cm_lift_success,0.0,0.0,0.0,10,1,1,stratified paired environment bootstrap of fixed-policy averages
force_feedback,script,id,force_budget_exceeded,-0.5,-0.8,-0.2,10,1,1,stratified paired environment bootstrap of fixed-policy averages
force_feedback,script,id,intervention_force_budget_exceeded,-0.8,-1.0,-0.5,10,1,1,stratified paired environment bootstrap of fixed-policy averages
force_feedback,script,id,full_episode_peak_normal_N,-4.09946084022522,-6.093981409072876,-2.402349283695221,10,1,1,stratified paired environment bootstrap of fixed-policy averages
force_feedback,script,id,native_shaped_return,-0.6039663679292062,-0.8337124394742905,-0.349522199844531,10,1,1,stratified paired environment bootstrap of fixed-policy averages
force_feedback,script,ood,sustained_10cm_lift_within_force_budget,0.0,0.0,0.0,10,1,1,stratified paired environment bootstrap of fixed-policy averages
force_feedback,script,ood,sustained_10cm_lift_success,0.0,0.0,0.0,10,1,1,stratified paired environment bootstrap of fixed-policy averages
force_feedback,script,ood,force_budget_exceeded,-0.4,-0.7,-0.1,10,1,1,stratified paired environment bootstrap of fixed-policy averages
force_feedback,script,ood,intervention_force_budget_exceeded,-0.4,-0.7,-0.1,10,1,1,stratified paired environment bootstrap of fixed-policy averages
force_feedback,script,ood,full_episode_peak_normal_N,-4.235652256011963,-9.011472657918931,0.5342000329494475,10,1,1,stratified paired environment bootstrap of fixed-policy averages
force_feedback,script,ood,native_shaped_return,-0.34689179282696825,-1.012663995413765,0.5235598023318887,10,1,1,stratified paired environment bootstrap of fixed-policy averages
script,force_feedback,all,sustained_10cm_lift_within_force_budget,-0.25,-0.4,-0.1,20,1,1,stratified paired environment bootstrap of fixed-policy averages
script,force_feedback,all,sustained_10cm_lift_success,0.0,0.0,0.0,20,1,1,stratified paired environment bootstrap of fixed-policy averages
script,force_feedback,all,force_budget_exceeded,0.45,0.25,0.65,20,1,1,stratified paired environment bootstrap of fixed-policy averages
script,force_feedback,all,intervention_force_budget_exceeded,0.6,0.4,0.8,20,1,1,stratified paired environment bootstrap of fixed-policy averages
script,force_feedback,all,full_episode_peak_normal_N,4.167556548118592,1.5753511971235274,6.847384809851645,20,1,1,stratified paired environment bootstrap of fixed-policy averages
script,force_feedback,all,native_shaped_return,0.47542908037808723,0.020963336111916,0.8494812241988626,20,1,1,stratified paired environment bootstrap of fixed-policy averages
script,force_feedback,id,sustained_10cm_lift_within_force_budget,-0.5,-0.8,-0.2,10,1,1,stratified paired environment bootstrap of fixed-policy averages
script,force_feedback,id,sustained_10cm_lift_success,0.0,0.0,0.0,10,1,1,stratified paired environment bootstrap of fixed-policy averages
script,force_feedback,id,force_budget_exceeded,0.5,0.2,0.8,10,1,1,stratified paired environment bootstrap of fixed-policy averages
script,force_feedback,id,intervention_force_budget_exceeded,0.8,0.5,1.0,10,1,1,stratified paired environment bootstrap of fixed-policy averages
script,force_feedback,id,full_episode_peak_normal_N,4.09946084022522,2.2545602321624756,6.086183695793151,10,1,1,stratified paired environment bootstrap of fixed-policy averages
script,force_feedback,id,native_shaped_return,0.6039663679292062,0.3557901113317774,0.838383127215998,10,1,1,stratified paired environment bootstrap of fixed-policy averages
script,force_feedback,ood,sustained_10cm_lift_within_force_budget,0.0,0.0,0.0,10,1,1,stratified paired environment bootstrap of fixed-policy averages
script,force_feedback,ood,sustained_10cm_lift_success,0.0,0.0,0.0,10,1,1,stratified paired environment bootstrap of fixed-policy averages
script,force_feedback,ood,force_budget_exceeded,0.4,0.1,0.7,10,1,1,stratified paired environment bootstrap of fixed-policy averages
script,force_feedback,ood,intervention_force_budget_exceeded,0.4,0.1,0.7,10,1,1,stratified paired environment bootstrap of fixed-policy averages
