controller,domain,episodes,windows,endpoint_force_mae_N,interval_peak_mae_N,height_mae_m,fixed_calibration_joint_coverage,calibration_peak_radius_N
visuotactile_height_seed0_rl,id,10,180,0.5658918619155884,1.1661840677261353,0.013254004530608654,0.1,13.204450607299805
visuotactile_height_seed0_rl,ood,10,180,0.6015183925628662,1.6615207195281982,0.002065911190584302,0.8,13.204450607299805
visuotactile_height_seed1_rl,id,10,180,0.41608479619026184,0.942656397819519,0.0066850152797997,0.8,6.944602966308594
visuotactile_height_seed1_rl,ood,10,180,0.8021084070205688,1.9760535955429077,0.0016176776262000203,0.5,6.944602966308594
visuotactile_height_seed2_rl,id,10,180,0.6217747926712036,1.4780316352844238,0.007483921013772488,0.8,9.437637329101562
visuotactile_height_seed2_rl,ood,10,180,0.6984636783599854,1.8545496463775635,0.0020617356058210135,0.7,9.437637329101562
visuotactile_margin_height_seed0_rl,id,10,180,0.1657545119524002,0.8477684855461121,0.003373738843947649,0.9,13.204450607299805
visuotactile_margin_height_seed0_rl,ood,10,180,0.2131209373474121,0.9720233678817749,0.002864361274987459,0.9,13.204450607299805
visuotactile_margin_height_seed1_rl,id,10,180,0.4685506522655487,1.0051257610321045,0.05128844454884529,0.4,6.944602966308594
visuotactile_margin_height_seed1_rl,ood,10,180,0.49672719836235046,1.3182635307312012,0.001526090083643794,0.5,6.944602966308594
visuotactile_margin_height_seed2_rl,id,10,180,0.06717362999916077,0.23495040833950043,0.0033565484918653965,1.0,9.437637329101562
visuotactile_margin_height_seed2_rl,ood,10,180,0.11405734717845917,0.3785715401172638,0.007879151031374931,0.7,9.437637329101562
visuotactile_margin_native_seed0_rl,id,10,180,0.19100037217140198,0.638918399810791,0.002920615253970027,0.8,13.204450607299805
visuotactile_margin_native_seed0_rl,ood,10,180,0.1660088300704956,0.7336575388908386,0.002399103483185172,0.9,13.204450607299805
visuotactile_margin_native_seed1_rl,id,10,180,0.508196234703064,1.0329641103744507,0.062479257583618164,0.2,6.944602966308594
visuotactile_margin_native_seed1_rl,ood,10,180,0.5135743021965027,1.328140139579773,0.0014369686832651496,0.5,6.944602966308594
visuotactile_margin_native_seed2_rl,id,10,180,0.10158781707286835,0.11852522194385529,0.0006995010189712048,1.0,9.437637329101562
visuotactile_margin_native_seed2_rl,ood,10,180,0.13616763055324554,0.25264447927474976,0.0010042847134172916,1.0,9.437637329101562
visuotactile_native_seed0_rl,id,10,180,0.5072349309921265,1.0968021154403687,0.011362593621015549,0.0,13.204450607299805
visuotactile_native_seed0_rl,ood,10,180,0.5902928113937378,1.5113056898117065,0.0027319251094013453,0.9,13.204450607299805
visuotactile_native_seed1_rl,id,10,180,0.49218305945396423,1.0048755407333374,0.011553612537682056,0.6,6.944602966308594
visuotactile_native_seed1_rl,ood,10,180,0.734277069568634,1.8100491762161255,0.0019652273040264845,0.5,6.944602966308594
visuotactile_native_seed2_rl,id,10,180,0.5846290588378906,1.4153780937194824,0.007384465541690588,0.5,9.437637329101562
visuotactile_native_seed2_rl,ood,10,180,0.6904476284980774,2.0739622116088867,0.0023675591219216585,0.8,9.437637329101562
visuotactile_seed0_bc,id,10,180,0.5061942934989929,0.8486199975013733,0.0029569831676781178,1.0,13.204450607299805
visuotactile_seed0_bc,ood,10,180,0.7500835657119751,1.6757981777191162,0.002767903497442603,1.0,13.204450607299805
visuotactile_seed1_bc,id,10,180,0.4864117205142975,1.1708465814590454,0.0044135781936347485,1.0,6.944602966308594
visuotactile_seed1_bc,ood,10,180,0.9003792405128479,2.1430656909942627,0.0027175173163414,0.5,6.944602966308594
visuotactile_seed2_bc,id,10,180,0.5994945168495178,1.135543942451477,0.0017528608441352844,1.0,9.437637329101562
visuotactile_seed2_bc,ood,10,180,0.8184758424758911,1.7807353734970093,0.002027980051934719,1.0,9.437637329101562
