phase,step,loss,value_loss
bc,0,0.06470459699630737,0.0
bc,100,0.02683565765619278,0.0
bc,200,0.020106833428144455,0.0
bc,300,0.013439672067761421,0.0
bc,400,0.016045229509472847,0.0
bc,500,0.015410792082548141,0.0
bc,600,0.015683023259043694,0.0
bc,700,0.015398737974464893,0.0
bc,800,0.016088075935840607,0.0
bc,900,0.012317144311964512,0.0
imagination_rl,0,-1.8159031867980957,2.2197437286376953
imagination_rl,100,-2.8084163665771484,0.586535632610321
imagination_rl,200,-3.599839687347412,0.5082839131355286
imagination_rl,300,-4.713756561279297,0.4353726804256439
imagination_rl,400,-5.482453346252441,0.4793279767036438
imagination_rl,500,-5.998700141906738,0.3255860209465027
imagination_rl,600,-6.694487571716309,0.81525057554245
imagination_rl,700,-7.116200923919678,0.5747108459472656
imagination_rl,800,-7.601865291595459,1.0908502340316772
imagination_rl,900,-8.08681583404541,0.994689404964447
imagination_rl,1000,-8.463376998901367,0.4974673390388489
imagination_rl,1100,-8.773683547973633,1.130389928817749
imagination_rl,1200,-9.038026809692383,1.1978737115859985
imagination_rl,1300,-9.682958602905273,1.157309889793396
imagination_rl,1400,-9.684654235839844,0.7227026224136353
